BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11211,6138173,11211.dat,"Brick, Modified 1 x 2 with Studs on 1 Side ",11,0,Black,Solid Colors,2,0.86
11477,6055065,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",7,1,Blue,Solid Colors,8,0.31
15068,6116786,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",7,1,Blue,Solid Colors,6,0.57
15535,6143850,15535.dat,"Tile, Round 2 x 2 with Hole ",11,0,Black,Solid Colors,4,0.32
15712,6335388,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",11,0,Black,Solid Colors,1,0.2
2357,235726,2357.dat,Brick 2 x 2 Corner,11,0,Black,Solid Colors,2,1.25
2357,4558606,2357.dat,Brick 2 x 2 Corner,7,1,Blue,Solid Colors,2,1.25
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,14,0.54
24299,6132203,24299.dat,"Wedge, Plate 2 x 2  Left ",1,15,White,Solid Colors,2,0.44
24299,6141554,24299.dat,"Wedge, Plate 2 x 2  Left ",11,0,Black,Solid Colors,1,0.44
24299,6189198,24299.dat,"Wedge, Plate 2 x 2  Left ",7,1,Blue,Solid Colors,2,0.44
24307,6141556,24307.dat,"Wedge, Plate 2 x 2  Right ",11,0,Black,Solid Colors,1,0.44
24307,6132204,24307.dat,"Wedge, Plate 2 x 2  Right ",1,15,White,Solid Colors,2,0.44
24307,6189202,24307.dat,"Wedge, Plate 2 x 2  Right ",7,1,Blue,Solid Colors,2,0.44
25269,6302961,25269.dat,"Tile, Round 1 x 1 Quarter ",7,1,Blue,Solid Colors,2,
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,2,0.1
25269,6176433,25269.dat,"Tile, Round 1 x 1 Quarter ",86,71,Light Bluish Gray,Solid Colors,2,0.1
25269,6172366,25269.dat,"Tile, Round 1 x 1 Quarter ",1,15,White,Solid Colors,2,0.1
25893,6359231,25893a.dat,"Plate, Round 1 x 1 with Bar Handle on Short Stem ",12,47,Trans-Clear,Transparent Colors,2,0.15
