BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11477,6028813,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,4,0.31
11477,6029946,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",5,4,Red,Solid Colors,2,0.31
15068,6102357,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,3,0.57
18973,6244777,18973.dat,Windscreen 6 x 4 x 1 1/3 Canopy Straight Sides,13,40,Trans-Brown,Transparent Colors,1,4
18976,6327096,18976.dat,"Wheel 18mm D. x 12mm with Axle Hole and Stud, Solid Brake Rotor Lines ",95,179,Flat Silver,Pearl Colors,4,1.4
18977,6102596,18977.dat,Tire 24 x 12 Low,11,0,Black,Solid Colors,4,2
18978b,6107391,18978b.dat,Wheel Cover 10 Spoke - for Wheel 18976,95,179,Flat Silver,Pearl Colors,4,0.25
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,2,0.54
2420,4211353,2420.dat,Plate 2 x 2 Corner,86,71,Light Bluish Gray,Solid Colors,4,0.54
24246,6362252,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",85,72,Dark Bluish Gray,Solid Colors,1,
24246,6250591,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",1,15,White,Solid Colors,2,0.1
24246,6256435,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",11,0,Black,Solid Colors,2,0.1
24246,6250597,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",86,71,Light Bluish Gray,Solid Colors,6,0.1
2431,4211356,2431.dat,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,7,0.54
25269,6176433,25269.dat,"Tile, Round 1 x 1 Quarter ",86,71,Light Bluish Gray,Solid Colors,4,0.1
26601,6186657,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",86,71,Light Bluish Gray,Solid Colors,2,0.5
26603,6189130,26603.dat,Tile 2 x 3,5,4,Red,Solid Colors,2,0.68
3001,4211385,3001.dat,Brick 2 x 4,86,71,Light Bluish Gray,Solid Colors,5,2.32
3001,4211085,3001.dat,Brick 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.32
3005,6240554,3005.dat,Brick 1 x 1,13,40,Trans-Brown,Transparent Colors,2,0.44
3009,4211393,3009.dat,Brick 1 x 6,86,71,Light Bluish Gray,Solid Colors,1,2.42
3010,4211103,3010.dat,Brick 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.64
3010,4211394,3010.dat,Brick 1 x 4,86,71,Light Bluish Gray,Solid Colors,6,1.64
3020,4211395,3020.dat,Plate 2 x 4,86,71,Light Bluish Gray,Solid Colors,6,1.2
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,1,1.2
3021,4211396,3021.dat,Plate 2 x 3,86,71,Light Bluish Gray,Solid Colors,2,0.93
3023,4211398,3023b.dat,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,12,0.36
3023,6240219,3023b.dat,Plate 1 x 2,13,40,Trans-Brown,Transparent Colors,4,0.36
3023,302321,3023b.dat,Plate 1 x 2,5,4,Red,Solid Colors,2,0.36
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,4,0.36
3024,6252039,3024.dat,Plate 1 x 1,13,40,Trans-Brown,Transparent Colors,2,0.2
3024,4211399,3024.dat,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,17,0.2
3031,4243819,3031.dat,Plate 4 x 4,11,0,Black,Solid Colors,2,2.22
3036,303626,3036.dat,Plate 6 x 8,11,0,Black,Solid Colors,1,6.4
3065,6244909,3065.dat,Brick 1 x 2 without Bottom Tube,13,40,Trans-Brown,Transparent Colors,2,0.82
30663,6057397,30663.dat,"Vehicle, Steering Wheel Small, 2 Studs Diameter ",11,0,Black,Solid Colors,1,0.4
3069,306926,3069b.dat,Tile 1 x 2,11,0,Black,Solid Colors,2,0.26
3069,306901,3069b.dat,Tile 1 x 2,1,15,White,Solid Colors,1,0.26
3069,4211414,3069b.dat,Tile 1 x 2,86,71,Light Bluish Gray,Solid Colors,8,0.26
3070,4211415,3070b.dat,Tile 1 x 1,86,71,Light Bluish Gray,Solid Colors,3,0.16
3070,307026,3070b.dat,Tile 1 x 1,11,0,Black,Solid Colors,2,0.16
3070,307021,3070b.dat,Tile 1 x 1,5,4,Red,Solid Colors,2,0.16
3386,6424674,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",11,0,Black,Solid Colors,4,
3386,6448793,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",86,71,Light Bluish Gray,Solid Colors,2,
3387,,3387.dat,"Vehicle, Mudguard 4 x 2 1/2 x 2 with Arch Round ",86,71,Light Bluish Gray,Solid Colors,4,2.3
3460,4211425,3460.dat,Plate 1 x 8,86,71,Light Bluish Gray,Solid Colors,1,1.36
35480,6210269,35480.dat,"Plate, Round 1 x 2 with Open Studs ",5,4,Red,Solid Colors,2,0.26
3623,4211429,3623.dat,Plate 1 x 3,86,71,Light Bluish Gray,Solid Colors,2,0.53
3666,4211438,3666.dat,Plate 1 x 6,86,71,Light Bluish Gray,Solid Colors,2,1.06
3666,366626,3666.dat,Plate 1 x 6,11,0,Black,Solid Colors,4,1.06
3679,4540203,3679.dat,"Turntable 2 x 2 Plate, Top ",86,71,Light Bluish Gray,Solid Colors,2,0.3
36841,6248078,36841.dat,Bracket 1 x 1 - 1 x 1,86,71,Light Bluish Gray,Solid Colors,1,0.28
3700,4211111,3700.dat,"Technic, Brick 1 x 2 with Hole ",85,72,Dark Bluish Gray,Solid Colors,4,0.82
3710,371026,3710.dat,Plate 1 x 4,11,0,Black,Solid Colors,4,0.71
3710,4211445,3710.dat,Plate 1 x 4,86,71,Light Bluish Gray,Solid Colors,7,0.71
3749,4666579,3749.dat,"Technic, Axle  1L with Pin without Friction Ridges ",2,19,Tan,Solid Colors,4,0.22
3794b,6066097,3794b.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper) ",86,71,Light Bluish Gray,Solid Colors,3,0.3
3958,395826,3958.dat,Plate 6 x 6,11,0,Black,Solid Colors,1,4.71
41539,4166618,41539.dat,Plate 8 x 8,86,71,Light Bluish Gray,Solid Colors,1,9.4
5091,6510125,5091.dat,"Tile, Modified 1 x 2 Wedge Left ",11,0,Black,Solid Colors,1,
5091,,5091.dat,"Tile, Modified 1 x 2 Wedge Left ",86,71,Light Bluish Gray,Solid Colors,5,0.22
5092,,5092.dat,"Tile, Modified 1 x 2 Wedge Right ",86,71,Light Bluish Gray,Solid Colors,5,0.22
5092,6510139,5092.dat,"Tile, Modified 1 x 2 Wedge Right ",11,0,Black,Solid Colors,1,
54200,4504378,54200.dat,Slope 30 1 x 1 x 2/3,85,72,Dark Bluish Gray,Solid Colors,1,0.21
4073,4210633,6141.dat,"Plate, Round 1 x 1 ",85,72,Dark Bluish Gray,Solid Colors,8,0.12
4073,614126,6141.dat,"Plate, Round 1 x 1 ",11,0,Black,Solid Colors,2,0.12
63864,4558169,63864.dat,Tile 1 x 3,86,71,Light Bluish Gray,Solid Colors,3,0.39
65578,6510189,65578.dat,Bar   1L with Angled Hollow Stud,86,71,Light Bluish Gray,Solid Colors,2,
65632,6287674,65632.dat,Windscreen 6 x 6 x 1 2/3,13,40,Trans-Brown,Transparent Colors,1,
69729,6318584,69729.dat,Tile 2 x 6,86,71,Light Bluish Gray,Solid Colors,1,
77845,6456718,77845.dat,"Plate, Round 1 x 4 with 2 Open Studs ",86,71,Light Bluish Gray,Solid Colors,1,
77845,6428167,77845.dat,"Plate, Round 1 x 4 with 2 Open Studs ",11,0,Black,Solid Colors,1,
77850,6543014,77850.dat,"Plate, Round 1 x 3 with Open Studs ",85,72,Dark Bluish Gray,Solid Colors,1,
85861,6231765,85861.dat,"Plate, Round 1 x 1 with Open Stud ",85,72,Dark Bluish Gray,Solid Colors,1,0.1
85861,6168647,85861.dat,"Plate, Round 1 x 1 with Open Stud ",86,71,Light Bluish Gray,Solid Colors,6,0.1
85984,4568637,85984.dat,Slope 30 1 x 2 x 2/3,86,71,Light Bluish Gray,Solid Colors,4,0.34
87079,4560183,87079.dat,Tile 2 x 4,86,71,Light Bluish Gray,Solid Colors,1,0.9
87087,4558953,87087.dat,"Brick, Modified 1 x 1 with Stud on Side ",86,71,Light Bluish Gray,Solid Colors,2,0.45
90370,6088550,90370.dat,"Minifigure, Utensil Microphone ",11,0,Black,Solid Colors,1,0.14
93273,4622803,93273.dat,"Slope, Curved 4 x 1 x 2/3 Double ",86,71,Light Bluish Gray,Solid Colors,2,0.6
98138,6284071,98138.dat,"Tile, Round 1 x 1 ",86,71,Light Bluish Gray,Solid Colors,2,0.11
99207,4654580,99207.dat,Bracket 1 x 2 - 2 x 2 Inverted,86,71,Light Bluish Gray,Solid Colors,2,0.8
99563,6134378,99563.dat,"Minifigure, Utensil Ingot 1 x 2 ",86,71,Light Bluish Gray,Solid Colors,5,0.22
99780,6004990,99780.dat,Bracket 1 x 2 - 1 x 2 Inverted,86,71,Light Bluish Gray,Solid Colors,2,0.55
99780,6020193,99780.dat,Bracket 1 x 2 - 1 x 2 Inverted,11,0,Black,Solid Colors,1,0.55
99781,4654582,99781.dat,Bracket 1 x 2 - 1 x 2,86,71,Light Bluish Gray,Solid Colors,2,0.55
5414,,bl_5414.dat,Wedge 4 x 1 Right,86,71,Light Bluish Gray,Solid Colors,2,0.7
5415,,bl_5415.dat,Wedge 4 x 1 Left,86,71,Light Bluish Gray,Solid Colors,2,0.7
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
260,165.3 +a
,,,,,,,,
