BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11253,6099514,11253.dat,Minifigure Footgear Roller Skate,1,15,White,Solid Colors,2,0.15
11477,6034044,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",1,15,White,Solid Colors,8,0.31
14719,6133722,14719.dat,Tile 2 x 2 Corner,11,0,Black,Solid Colors,6,0.43
15068,6047220,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",1,15,White,Solid Colors,6,0.57
15573,6092585,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper) ",11,0,Black,Solid Colors,2,0.3
15712,6348055,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",1,15,White,Solid Colors,2,0.2
1748,6510073,1748.dat,"Tile, Round 1 x 2 Half ",12,47,Trans-Clear,Transparent Colors,2,
18974,6102583,18974.dat,"Vehicle, Mudguard 4 x 2 1/2 x 2 1/3 with Arch Round ",1,15,White,Solid Colors,2,2.9
20482,6186681,20482.dat,"Tile, Round 1 x 1 with Bar and Small Pin Hole ",1,15,White,Solid Colors,2,0.16
2412b,241226,2412b.dat,"Tile, Modified 1 x 2 Grille with Bottom Groove ",11,0,Black,Solid Colors,2,0.23
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,6,0.54
2420,242001,2420.dat,Plate 2 x 2 Corner,1,15,White,Solid Colors,10,0.54
24246,6362252,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",85,72,Dark Bluish Gray,Solid Colors,4,
24246,6250597,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",86,71,Light Bluish Gray,Solid Colors,2,0.1
24246,6256435,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",11,0,Black,Solid Colors,4,0.1
24299,6132203,24299.dat,"Wedge, Plate 2 x 2  Left ",1,15,White,Solid Colors,1,0.44
24307,6132204,24307.dat,"Wedge, Plate 2 x 2  Right ",1,15,White,Solid Colors,1,0.44
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,1,0.54
2431,243101,2431.dat,Tile 1 x 4,1,15,White,Solid Colors,1,0.54
25269,6170390,25269.dat,"Tile, Round 1 x 1 Quarter ",5,4,Red,Solid Colors,2,0.1
25269,6302961,25269.dat,"Tile, Round 1 x 1 Quarter ",7,1,Blue,Solid Colors,2,
25269,6514469,25269.dat,"Tile, Round 1 x 1 Quarter ",12,47,Trans-Clear,Transparent Colors,2,
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,4,0.1
26047,6157554,26047.dat,"Plate, Round 1 x 1 with Bar Handle ",11,0,Black,Solid Colors,2,0.3
26601,6176240,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",1,15,White,Solid Colors,2,0.5
26603,6162892,26603.dat,Tile 2 x 3,11,0,Black,Solid Colors,2,0.68
26604,6224811,26604.dat,"Brick, Modified 1 x 1 with Studs on 2 Sides, Adjacent ",1,15,White,Solid Colors,2,0.45
27263,6168612,27263.dat,"Tile, Modified Facet 2 x 2 ",1,15,White,Solid Colors,4,0.33
28192,6267487,28192.dat,Slope 45 2 x 1 with Cutout without Stud,11,0,Black,Solid Colors,4,
28974,6534947,28974.dat,Minifigure Neck Bracket with Back Stud - Thick Back Wall,5,4,Red,Solid Colors,4,
29119,6213881,29119.dat,Wedge 2 x 1 x 2/3 Right,1,15,White,Solid Colors,5,0.23
29120,6213880,29120.dat,Wedge 2 x 1 x 2/3 Left,1,15,White,Solid Colors,5,0.23
3002,300226,3002.dat,Brick 2 x 3,11,0,Black,Solid Colors,2,1.92
3005,300526,3005.dat,Brick 1 x 1,11,0,Black,Solid Colors,6,0.44
3005,6240554,3005.dat,Brick 1 x 1,13,40,Trans-Brown,Transparent Colors,2,0.44
3010,301026,3010.dat,Brick 1 x 4,11,0,Black,Solid Colors,3,1.64
30162,6003301,30162.dat,"Minifigure, Utensil Binoculars Town ",11,0,Black,Solid Colors,2,0.19
3020,302001,3020.dat,Plate 2 x 4,1,15,White,Solid Colors,1,1.2
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,5,1.2
3021,302101,3021.dat,Plate 2 x 3,1,15,White,Solid Colors,2,0.93
3021,302126,3021.dat,Plate 2 x 3,11,0,Black,Solid Colors,4,0.93
3022,302226,3022.dat,Plate 2 x 2,11,0,Black,Solid Colors,1,0.64
3022,302201,3022.dat,Plate 2 x 2,1,15,White,Solid Colors,4,0.64
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,12,0.36
3023,302301,3023b.dat,Plate 1 x 2,1,15,White,Solid Colors,10,0.36
3024,6252039,3024.dat,Plate 1 x 1,13,40,Trans-Brown,Transparent Colors,6,0.2
3024,302426,3024.dat,Plate 1 x 1,11,0,Black,Solid Colors,12,0.2
3024,302401,3024.dat,Plate 1 x 1,1,15,White,Solid Colors,14,0.2
3031,4243819,3031.dat,Plate 4 x 4,11,0,Black,Solid Colors,3,2.22
3032,303226,3032.dat,Plate 4 x 6,11,0,Black,Solid Colors,2,3.3
3035,303526,3035.dat,Plate 4 x 8,11,0,Black,Solid Colors,1,4.7
30414,4162443,30414.dat,"Brick, Modified 1 x 4 with Studs on Side ",11,0,Black,Solid Colors,1,1.7
3065,6244909,3065.dat,Brick 1 x 2 without Bottom Tube,13,40,Trans-Brown,Transparent Colors,2,0.82
30663,6057397,30663.dat,"Vehicle, Steering Wheel Small, 2 Studs Diameter ",11,0,Black,Solid Colors,1,0.4
3068,306801,3068b.dat,Tile 2 x 2,1,15,White,Solid Colors,1,0.48
3068,306826,3068b.dat,Tile 2 x 2,11,0,Black,Solid Colors,1,0.48
3069,306926,3069b.dat,Tile 1 x 2,11,0,Black,Solid Colors,1,0.26
3069,306901,3069b.dat,Tile 1 x 2,1,15,White,Solid Colors,2,0.26
3070,307001,3070b.dat,Tile 1 x 1,1,15,White,Solid Colors,6,0.16
3070,307026,3070b.dat,Tile 1 x 1,11,0,Black,Solid Colors,2,0.16
32028,4107761,32028.dat,"Plate, Modified 1 x 2 with Door Rail ",11,0,Black,Solid Colors,1,0.44
32028,4249563,32028.dat,"Plate, Modified 1 x 2 with Door Rail ",1,15,White,Solid Colors,4,0.44
32064,6178919,32064c.dat,"Technic, Brick 1 x 2 with Axle Hole ",85,72,Dark Bluish Gray,Solid Colors,4,0.88
32828,6196548,32828.dat,Bar   1L with 1 x 1 Round Plate with Hollow Stud,11,0,Black,Solid Colors,1,0.16
32952,6228987,32952.dat,"Brick, Modified 1 x 1 x 1 2/3 with Studs on Side ",11,0,Black,Solid Colors,4,0.7
3386,6446788,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",1,15,White,Solid Colors,6,
3386,6424674,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",11,0,Black,Solid Colors,6,
3386,6494496,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",5,4,Red,Solid Colors,2,
3387,6438923,3387.dat,"Vehicle, Mudguard 4 x 2 1/2 x 2 with Arch Round ",1,15,White,Solid Colors,2,
35464,6439560,35464.dat,Slope 45 1 x 1 x 2/3 Double,11,0,Black,Solid Colors,2,
3623,362301,3623.dat,Plate 1 x 3,1,15,White,Solid Colors,2,
3623,362326,3623.dat,Plate 1 x 3,11,0,Black,Solid Colors,3,0.53
3666,366601,3666.dat,Plate 1 x 6,1,15,White,Solid Colors,6,1.06
3666,366626,3666.dat,Plate 1 x 6,11,0,Black,Solid Colors,2,1.06
36840,6234695,36840.dat,Bracket 1 x 1 - 1 x 1 Inverted,11,0,Black,Solid Colors,2,0.29
3710,371026,3710.dat,Plate 1 x 4,11,0,Black,Solid Colors,9,0.71
3710,371001,3710.dat,Plate 1 x 4,1,15,White,Solid Colors,4,0.71
3749,4666579,3749.dat,"Technic, Axle  1L with Pin without Friction Ridges ",2,19,Tan,Solid Colors,4,0.22
3795,379526,3795.dat,Plate 2 x 6,11,0,Black,Solid Colors,1,1.74
3937,393726,3937.dat,Hinge Brick 1 x 2 Base,11,0,Black,Solid Colors,3,0.48
4070,407001,4070.dat,"Brick, Modified 1 x 1 with Headlight ",1,15,White,Solid Colors,2,0.36
