BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6065824,14719.dat,Tile 2 x 2 Corner,86,71,Light Bluish Gray,Solid Colors,2,0.43
14719,6369265,14719.dat,Tile 2 x 2 Corner,59,320,Dark Red,Solid Colors,4,
15068,6102357,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,8,0.57
15573,6066097,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper) ",86,71,Light Bluish Gray,Solid Colors,3,0.3
15573,6092597,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper) ",59,320,Dark Red,Solid Colors,2,0.3
15712,6308012,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",86,71,Light Bluish Gray,Solid Colors,2,0.2
18654,6161155,18654.dat,"Technic, Liftarm Thick 1 x 1 (Spacer) ",95,179,Flat Silver,Pearl Colors,2,0.17
18974,6379102,18974.dat,"Vehicle, Mudguard 4 x 2 1/2 x 2 1/3 with Arch Round ",86,71,Light Bluish Gray,Solid Colors,2,
20482,6258831,20482.dat,"Tile, Round 1 x 1 with Bar and Small Pin Hole ",86,71,Light Bluish Gray,Solid Colors,6,0.16
2420,4211353,2420.dat,Plate 2 x 2 Corner,86,71,Light Bluish Gray,Solid Colors,4,0.54
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,6,0.54
2420,4585751,2420.dat,Plate 2 x 2 Corner,59,320,Dark Red,Solid Colors,4,0.54
24246,6250597,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",86,71,Light Bluish Gray,Solid Colors,1,0.1
24246,6256435,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",11,0,Black,Solid Colors,8,0.1
24299,6163478,24299.dat,"Wedge, Plate 2 x 2  Left ",86,71,Light Bluish Gray,Solid Colors,1,0.44
24307,6163477,24307.dat,"Wedge, Plate 2 x 2  Right ",86,71,Light Bluish Gray,Solid Colors,1,0.44
2431,4211356,2431.dat,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,5,0.54
2431,4539060,2431.dat,Tile 1 x 4,59,320,Dark Red,Solid Colors,3,0.54
25269,6302961,25269.dat,"Tile, Round 1 x 1 Quarter ",7,1,Blue,Solid Colors,2,
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,2,0.1
25269,6170390,25269.dat,"Tile, Round 1 x 1 Quarter ",5,4,Red,Solid Colors,2,0.1
25269,6176433,25269.dat,"Tile, Round 1 x 1 Quarter ",86,71,Light Bluish Gray,Solid Colors,6,0.1
26047,6225246,26047.dat,"Plate, Round 1 x 1 with Bar Handle ",86,71,Light Bluish Gray,Solid Colors,2,0.3
