BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6369265,14719.dat,Tile 2 x 2 Corner,59,320,Dark Red,Solid Colors,2,
14719,6058329,14719.dat,Tile 2 x 2 Corner,1,15,White,Solid Colors,2,0.43
14719,6133722,14719.dat,Tile 2 x 2 Corner,11,0,Black,Solid Colors,4,0.43
15068,6107758,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",59,320,Dark Red,Solid Colors,10,0.57
15573,6092597,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper) ",59,320,Dark Red,Solid Colors,2,0.3
15573,6092585,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper) ",11,0,Black,Solid Colors,1,0.3
15712,6360079,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",59,320,Dark Red,Solid Colors,2,0.2
18654,6161155,18654.dat,"Technic, Liftarm Thick 1 x 1 (Spacer) ",95,179,Flat Silver,Pearl Colors,2,0.17
20482,6186675,20482.dat,"Tile, Round 1 x 1 with Bar and Small Pin Hole ",11,0,Black,Solid Colors,6,0.16
2420,4585751,2420.dat,Plate 2 x 2 Corner,59,320,Dark Red,Solid Colors,14,0.54
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,4,0.54
24246,6250597,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",86,71,Light Bluish Gray,Solid Colors,1,0.1
24246,6256435,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",11,0,Black,Solid Colors,8,0.1
24299,6462488,24299.dat,"Wedge, Plate 2 x 2  Left ",59,320,Dark Red,Solid Colors,1,
24307,6462487,24307.dat,"Wedge, Plate 2 x 2  Right ",59,320,Dark Red,Solid Colors,1,
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,2,0.54
2431,4539060,2431.dat,Tile 1 x 4,59,320,Dark Red,Solid Colors,4,0.54
25269,6311890,25269.dat,"Tile, Round 1 x 1 Quarter ",59,320,Dark Red,Solid Colors,4,
25269,6302961,25269.dat,"Tile, Round 1 x 1 Quarter ",7,1,Blue,Solid Colors,2,
25269,6170390,25269.dat,"Tile, Round 1 x 1 Quarter ",5,4,Red,Solid Colors,2,0.1
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,2,0.1
26047,6483130,26047.dat,"Plate, Round 1 x 1 with Bar Handle ",59,320,Dark Red,Solid Colors,2,
26601,6210310,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",59,320,Dark Red,Solid Colors,4,0.5
26604,6187572,26604.dat,"Brick, Modified 1 x 1 with Studs on 2 Sides, Adjacent ",11,0,Black,Solid Colors,2,0.45
27263,6364638,27263.dat,"Tile, Modified Facet 2 x 2 ",59,320,Dark Red,Solid Colors,8,
28192,6267487,28192.dat,Slope 45 2 x 1 with Cutout without Stud,11,0,Black,Solid Colors,4,
28974,6534947,28974.dat,Minifigure Neck Bracket with Back Stud - Thick Back Wall,5,4,Red,Solid Colors,4,
29119,6219657,29119.dat,Wedge 2 x 1 x 2/3 Right,59,320,Dark Red,Solid Colors,10,0.23
29120,6219658,29120.dat,Wedge 2 x 1 x 2/3 Left,59,320,Dark Red,Solid Colors,10,0.23
3001,300126,3001.dat,Brick 2 x 4,11,0,Black,Solid Colors,2,2.32
3005,300526,3005.dat,Brick 1 x 1,11,0,Black,Solid Colors,4,0.44
3005,6240554,3005.dat,Brick 1 x 1,13,40,Trans-Brown,Transparent Colors,2,0.44
3005,4541376,3005.dat,Brick 1 x 1,59,320,Dark Red,Solid Colors,2,0.44
3010,6052777,3010.dat,Brick 1 x 4,59,320,Dark Red,Solid Colors,1,1.64
3010,301026,3010.dat,Brick 1 x 4,11,0,Black,Solid Colors,1,1.64
3020,4539071,3020.dat,Plate 2 x 4,59,320,Dark Red,Solid Colors,2,1.2
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,4,1.2
3021,6264030,3021.dat,Plate 2 x 3,59,320,Dark Red,Solid Colors,3,
3021,302126,3021.dat,Plate 2 x 3,11,0,Black,Solid Colors,2,0.93
3022,4585479,3022.dat,Plate 2 x 2,59,320,Dark Red,Solid Colors,3,0.64
3023,4539097,3023b.dat,Plate 1 x 2,59,320,Dark Red,Solid Colors,20,0.36
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,6,0.36
3023,6240219,3023b.dat,Plate 1 x 2,13,40,Trans-Brown,Transparent Colors,2,0.36
3024,6252039,3024.dat,Plate 1 x 1,13,40,Trans-Brown,Transparent Colors,2,0.2
3024,302426,3024.dat,Plate 1 x 1,11,0,Black,Solid Colors,7,0.2
3024,4539114,3024.dat,Plate 1 x 1,59,320,Dark Red,Solid Colors,23,0.2
3031,4243819,3031.dat,Plate 4 x 4,11,0,Black,Solid Colors,1,2.22
3032,303226,3032.dat,Plate 4 x 6,11,0,Black,Solid Colors,2,3.3
3034,6152321,3034.dat,Plate 2 x 8,59,320,Dark Red,Solid Colors,1,2.27
3035,303526,3035.dat,Plate 4 x 8,11,0,Black,Solid Colors,1,4.7
3037,4541380,3037.dat,Slope 45 2 x 4,59,320,Dark Red,Solid Colors,1,1.97
30414,4162443,30414.dat,"Brick, Modified 1 x 4 with Studs on Side ",11,0,Black,Solid Colors,1,1.7
3065,6244909,3065.dat,Brick 1 x 2 without Bottom Tube,13,40,Trans-Brown,Transparent Colors,2,0.82
30663,6057397,30663.dat,"Vehicle, Steering Wheel Small, 2 Studs Diameter ",11,0,Black,Solid Colors,1,0.4
3068,4539105,3068b.dat,Tile 2 x 2,59,320,Dark Red,Solid Colors,1,0.48
3068,306826,3068b.dat,Tile 2 x 2,11,0,Black,Solid Colors,1,0.48
3069,306901,3069b.dat,Tile 1 x 2,1,15,White,Solid Colors,1,0.26
3069,4539090,3069b.dat,Tile 1 x 2,59,320,Dark Red,Solid Colors,4,0.26
3069,306926,3069b.dat,Tile 1 x 2,11,0,Black,Solid Colors,1,0.26
3070,4550169,3070b.dat,Tile 1 x 1,59,320,Dark Red,Solid Colors,8,0.16
32028,4107761,32028.dat,"Plate, Modified 1 x 2 with Door Rail ",11,0,Black,Solid Colors,1,0.44
32028,6186005,32028.dat,"Plate, Modified 1 x 2 with Door Rail ",59,320,Dark Red,Solid Colors,2,0.44
32064,6178919,32064c.dat,"Technic, Brick 1 x 2 with Axle Hole ",85,72,Dark Bluish Gray,Solid Colors,4,0.88
32828,6196548,32828.dat,Bar   1L with 1 x 1 Round Plate with Hollow Stud,11,0,Black,Solid Colors,1,0.16
32952,6311108,32952.dat,"Brick, Modified 1 x 1 x 1 2/3 with Studs on Side ",59,320,Dark Red,Solid Colors,4,
3386,6424674,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",11,0,Black,Solid Colors,10,
3387,6525793,3387.dat,"Vehicle, Mudguard 4 x 2 1/2 x 2 with Arch Round ",59,320,Dark Red,Solid Colors,4,
33909,6214309,33909.dat,"Tile, Modified 2 x 2 with Studs on Edge ",59,320,Dark Red,Solid Colors,3,0.57
3460,4541507,3460.dat,Plate 1 x 8,59,320,Dark Red,Solid Colors,3,1.36
35464,6439560,35464.dat,Slope 45 1 x 1 x 2/3 Double,11,0,Black,Solid Colors,2,
35480,6212040,35480.dat,"Plate, Round 1 x 2 with Open Studs ",59,320,Dark Red,Solid Colors,3,0.26
35787,6217875,35787.dat,"Tile, Modified 2 x 2 Triangular ",1,15,White,Solid Colors,2,0.24
3623,4539076,3623.dat,Plate 1 x 3,59,320,Dark Red,Solid Colors,2,0.53
3623,362326,3623.dat,Plate 1 x 3,11,0,Black,Solid Colors,1,0.53
3666,366626,3666.dat,Plate 1 x 6,11,0,Black,Solid Colors,1,1.06
3666,4539062,3666.dat,Plate 1 x 6,59,320,Dark Red,Solid Colors,1,1.06
3679,4540203,3679.dat,"Turntable 2 x 2 Plate, Top ",86,71,Light Bluish Gray,Solid Colors,2,0.3
36840,6531581,36840.dat,Bracket 1 x 1 - 1 x 1 Inverted,59,320,Dark Red,Solid Colors,2,
3710,371026,3710.dat,Plate 1 x 4,11,0,Black,Solid Colors,4,0.71
3710,4539061,3710.dat,Plate 1 x 4,59,320,Dark Red,Solid Colors,3,0.71
3749,4666579,3749.dat,"Technic, Axle  1L with Pin without Friction Ridges ",2,19,Tan,Solid Colors,4,0.22
3795,4618986,3795.dat,Plate 2 x 6,59,320,Dark Red,Solid Colors,1,1.74
3795,379526,3795.dat,Plate 2 x 6,11,0,Black,Solid Colors,1,1.74
3937,4162583,3937.dat,Hinge Brick 1 x 2 Base,59,320,Dark Red,Solid Colors,2,
3937,393726,3937.dat,Hinge Brick 1 x 2 Base,11,0,Black,Solid Colors,2,0.48
4070,407026,4070.dat,"Brick, Modified 1 x 1 with Headlight ",11,0,Black,Solid Colors,4,0.36
4070,4539092,4070.dat,"Brick, Modified 1 x 1 with Headlight ",59,320,Dark Red,Solid Colors,4,0.36
