BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11609,6184648,11609.dat,"Plate, Round 1 x 1 with Star and Small Pin Hole ",3,14,Yellow,Solid Colors,8,0.11
14716,6055541,14716.dat,Brick 1 x 1 x 3,1,15,White,Solid Colors,8,1.24
14719,6173057,14719.dat,Tile 2 x 2 Corner,2,19,Tan,Solid Colors,2,0.43
14719,6065824,14719.dat,Tile 2 x 2 Corner,86,71,Light Bluish Gray,Solid Colors,32,0.43
14719,6133722,14719.dat,Tile 2 x 2 Corner,11,0,Black,Solid Colors,2,0.43
14769,6066342,14769.dat,"Tile, Round 2 x 2 with Bottom Stud Holder ",5,4,Red,Solid Colors,1,0.33
14769,6070695,14769.dat,"Tile, Round 2 x 2 with Bottom Stud Holder ",11,0,Black,Solid Colors,1,0.33
20482,6271752,20482.dat,"Tile, Round 1 x 1 with Bar and Small Pin Hole ",85,72,Dark Bluish Gray,Solid Colors,2,
2357,4124455,2357.dat,Brick 2 x 2 Corner,2,19,Tan,Solid Colors,40,1.25
2362a,4100381,2362a.dat,Panel 1 x 2 x 3 - Solid Studs,12,47,Trans-Clear,Transparent Colors,6,1.3
2362a,4113027,2362a.dat,Panel 1 x 2 x 3 - Solid Studs,11,0,Black,Solid Colors,3,1.3
2420,4211353,2420.dat,Plate 2 x 2 Corner,86,71,Light Bluish Gray,Solid Colors,8,0.54
24201,6144138,24201.dat,"Slope, Curved 2 x 1 x 2/3 Inverted ",86,71,Light Bluish Gray,Solid Colors,32,0.36
2429,242921,2429.dat,Hinge Plate 1 x 4 Swivel Base,5,4,Red,Solid Colors,3,
2430,243021,2430.dat,Hinge Plate 1 x 4 Swivel Top,5,4,Red,Solid Colors,3,
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,2,0.54
2431,4211356,2431.dat,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,2,0.54
25269,6176433,25269.dat,"Tile, Round 1 x 1 Quarter ",86,71,Light Bluish Gray,Solid Colors,44,0.1
25269,6145570,25269.dat,"Tile, Round 1 x 1 Quarter ",2,19,Tan,Solid Colors,2,0.1
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,2,0.1
26601,6164073,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",85,72,Dark Bluish Gray,Solid Colors,32,0.5
26603,6175367,26603.dat,Tile 2 x 3,2,19,Tan,Solid Colors,3,0.68
26603,6162892,26603.dat,Tile 2 x 3,11,0,Black,Solid Colors,5,0.68
27507,6458175,27507.dat,"Tile, Round Corner 4 x 4 Macaroni ",2,19,Tan,Solid Colors,2,
27507,6458165,27507.dat,"Tile, Round Corner 4 x 4 Macaroni ",11,0,Black,Solid Colors,2,
27507,6458164,27507.dat,"Tile, Round Corner 4 x 4 Macaroni ",86,71,Light Bluish Gray,Solid Colors,12,
27925,6163990,27925.dat,"Tile, Round Corner 2 x 2 Macaroni ",86,71,Light Bluish Gray,Solid Colors,12,0.3
27925,6226565,27925.dat,"Tile, Round Corner 2 x 2 Macaroni ",2,19,Tan,Solid Colors,2,0.3
27925,6191630,27925.dat,"Tile, Round Corner 2 x 2 Macaroni ",11,0,Black,Solid Colors,2,0.3
3003,4211387,3003.dat,Brick 2 x 2,86,71,Light Bluish Gray,Solid Colors,16,1.35
3004,300426,3004.dat,Brick 1 x 2,11,0,Black,Solid Colors,1,0.8
3004,4109995,3004.dat,Brick 1 x 2,2,19,Tan,Solid Colors,2,0.8
3004,6100322,3004.dat,Brick 1 x 2,105,212,Bright Light Blue,Solid Colors,56,0.8
