BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11211,6138173,11211.dat,"Brick, Modified 1 x 2 with Studs on 1 Side ",11,0,Black,Solid Colors,2,0.86
11253,6215447,11253.dat,Minifigure Footgear Roller Skate,95,179,Flat Silver,Pearl Colors,4,0.15
11477,6047276,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",11,0,Black,Solid Colors,2,0.31
11477,6029948,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",85,72,Dark Bluish Gray,Solid Colors,4,0.31
14719,6133722,14719.dat,Tile 2 x 2 Corner,11,0,Black,Solid Colors,2,0.43
15068,6053077,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",11,0,Black,Solid Colors,7,0.57
15068,6071261,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",85,72,Dark Bluish Gray,Solid Colors,1,0.57
15573,6092585,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper) ",11,0,Black,Solid Colors,1,0.3
15712,6344022,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",85,72,Dark Bluish Gray,Solid Colors,2,0.2
1745,6510058,1745.dat,"Plate, Round 1 x 2 Half with 1 Stud (Jumper) ",86,71,Light Bluish Gray,Solid Colors,1,
1751,6469830,1751.dat,Tile 4 x 4,11,0,Black,Solid Colors,1,
22885,6275806,22885.dat,"Brick, Modified 1 x 2 x 1 2/3 with Studs on Side ",11,0,Black,Solid Colors,1,
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,2,0.54
24246,6362252,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",85,72,Dark Bluish Gray,Solid Colors,2,
24299,6143423,24299.dat,"Wedge, Plate 2 x 2  Left ",85,72,Dark Bluish Gray,Solid Colors,1,0.44
24307,6143417,24307.dat,"Wedge, Plate 2 x 2  Right ",85,72,Dark Bluish Gray,Solid Colors,1,0.44
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,1,0.54
2431,4211053,2431.dat,Tile 1 x 4,85,72,Dark Bluish Gray,Solid Colors,2,0.54
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,3,0.1
25269,6199549,25269.dat,"Tile, Round 1 x 1 Quarter ",85,72,Dark Bluish Gray,Solid Colors,2,0.1
25269,6176433,25269.dat,"Tile, Round 1 x 1 Quarter ",86,71,Light Bluish Gray,Solid Colors,4,0.1
25269,6514469,25269.dat,"Tile, Round 1 x 1 Quarter ",12,47,Trans-Clear,Transparent Colors,2,
26047,6157554,26047.dat,"Plate, Round 1 x 1 with Bar Handle ",11,0,Black,Solid Colors,2,0.3
26601,6164073,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",85,72,Dark Bluish Gray,Solid Colors,2,0.5
26603,6162892,26603.dat,Tile 2 x 3,11,0,Black,Solid Colors,4,0.68
26603,6187008,26603.dat,Tile 2 x 3,85,72,Dark Bluish Gray,Solid Colors,3,0.68
27263,6177079,27263.dat,"Tile, Modified Facet 2 x 2 ",85,72,Dark Bluish Gray,Solid Colors,2,0.33
29119,6181713,29119.dat,Wedge 2 x 1 x 2/3 Right,11,0,Black,Solid Colors,2,0.23
29119,6177507,29119.dat,Wedge 2 x 1 x 2/3 Right,5,4,Red,Solid Colors,1,0.23
29119,6204667,29119.dat,Wedge 2 x 1 x 2/3 Right,85,72,Dark Bluish Gray,Solid Colors,3,0.23
29120,6204668,29120.dat,Wedge 2 x 1 x 2/3 Left,85,72,Dark Bluish Gray,Solid Colors,3,0.23
29120,6181720,29120.dat,Wedge 2 x 1 x 2/3 Left,11,0,Black,Solid Colors,2,0.23
29120,6177505,29120.dat,Wedge 2 x 1 x 2/3 Left,5,4,Red,Solid Colors,1,0.23
3001,300126,3001.dat,Brick 2 x 4,11,0,Black,Solid Colors,1,2.32
3002,300226,3002.dat,Brick 2 x 3,11,0,Black,Solid Colors,2,1.92
3004,4211088,3004.dat,Brick 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.8
3009,300926,3009.dat,Brick 1 x 6,11,0,Black,Solid Colors,2,2.42
3010,301026,3010.dat,Brick 1 x 4,11,0,Black,Solid Colors,2,1.64
3020,4211065,3020.dat,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,2,1.2
3021,302126,3021.dat,Plate 2 x 3,11,0,Black,Solid Colors,2,0.93
3023,302321,3023b.dat,Plate 1 x 2,5,4,Red,Solid Colors,2,0.36
3023,6514001,3023b.dat,Plate 1 x 2,12,47,Trans-Clear,Transparent Colors,4,0.36
3023,4211063,3023b.dat,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,13,0.36
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,10,0.36
3024,6252039,3024.dat,Plate 1 x 1,13,40,Trans-Brown,Transparent Colors,4,0.2
3024,4211399,3024.dat,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,2,0.2
3024,302426,3024.dat,Plate 1 x 1,11,0,Black,Solid Colors,10,0.2
3024,4210719,3024.dat,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,16,0.2
3031,4243831,3031.dat,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,2,2.22
3032,4211404,3032.dat,Plate 4 x 6,86,71,Light Bluish Gray,Solid Colors,1,3.3
3035,303526,3035.dat,Plate 4 x 8,11,0,Black,Solid Colors,3,4.7
3036,303626,3036.dat,Plate 6 x 8,11,0,Black,Solid Colors,2,6.4
3065,6244909,3065.dat,Brick 1 x 2 without Bottom Tube,13,40,Trans-Brown,Transparent Colors,4,0.82
30663,6057397,30663.dat,"Vehicle, Steering Wheel Small, 2 Studs Diameter ",11,0,Black,Solid Colors,1,0.4
3069,4211052,3069b.dat,Tile 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3069,306926,3069b.dat,Tile 1 x 2,11,0,Black,Solid Colors,7,0.26
3070,4210848,3070b.dat,Tile 1 x 1,85,72,Dark Bluish Gray,Solid Colors,5,0.16
32064,6178919,32064c.dat,"Technic, Brick 1 x 2 with Axle Hole ",85,72,Dark Bluish Gray,Solid Colors,4,0.88
32828,6196548,32828.dat,Bar   1L with 1 x 1 Round Plate with Hollow Stud,11,0,Black,Solid Colors,1,0.16
3386,6448793,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",86,71,Light Bluish Gray,Solid Colors,2,
3386,6424674,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",11,0,Black,Solid Colors,10,
33909,6309059,33909.dat,"Tile, Modified 2 x 2 with Studs on Edge ",85,72,Dark Bluish Gray,Solid Colors,2,
34103,6199908,34103.dat,"Plate, Modified 1 x 3 with 2 Studs (Double Jumper) ",11,0,Black,Solid Colors,2,0.43
3460,346026,3460.dat,Plate 1 x 8,11,0,Black,Solid Colors,4,1.36
35480,6248890,35480.dat,"Plate, Round 1 x 2 with Open Studs ",86,71,Light Bluish Gray,Solid Colors,2,0.26
35787,6217875,35787.dat,"Tile, Modified 2 x 2 Triangular ",1,15,White,Solid Colors,2,0.24
3622,4211104,3622.dat,Brick 1 x 3,85,72,Dark Bluish Gray,Solid Colors,2,1.24
