BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11477,6047276,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",11,0,Black,Solid Colors,8,0.31
15068,6067913,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",4,25,Orange,Solid Colors,2,0.57
15535,6143850,15535.dat,"Tile, Round 2 x 2 with Hole ",11,0,Black,Solid Colors,4,0.32
15712,6472962,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",4,25,Orange,Solid Colors,2,
15712,6335388,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",11,0,Black,Solid Colors,4,0.2
15712,6348055,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",1,15,White,Solid Colors,2,0.2
22885,6275806,22885.dat,"Brick, Modified 1 x 2 x 1 2/3 with Studs on Side ",11,0,Black,Solid Colors,4,
23969,6248492,23969.dat,Panel 1 x 2 x 1 with Rounded Corners and 2 Sides,86,71,Light Bluish Gray,Solid Colors,2,0.65
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,4,0.54
2420,242001,2420.dat,Plate 2 x 2 Corner,1,15,White,Solid Colors,4,0.54
24246,6256435,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",11,0,Black,Solid Colors,2,0.1
2431,243101,2431.dat,Tile 1 x 4,1,15,White,Solid Colors,2,0.54
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,3,0.54
25269,6172366,25269.dat,"Tile, Round 1 x 1 Quarter ",1,15,White,Solid Colors,2,0.1
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,2,0.1
26047,6157554,26047.dat,"Plate, Round 1 x 1 with Bar Handle ",11,0,Black,Solid Colors,2,0.3
3001,300101,3001.dat,Brick 2 x 4,1,15,White,Solid Colors,1,2.32
3004,300401,3004.dat,Brick 1 x 2,1,15,White,Solid Colors,2,0.8
3004,300426,3004.dat,Brick 1 x 2,11,0,Black,Solid Colors,1,0.8
3005,300501,3005.dat,Brick 1 x 1,1,15,White,Solid Colors,6,0.44
3005,300526,3005.dat,Brick 1 x 1,11,0,Black,Solid Colors,4,0.44
3009,300926,3009.dat,Brick 1 x 6,11,0,Black,Solid Colors,2,2.42
3010,4118827,3010.dat,Brick 1 x 4,4,25,Orange,Solid Colors,2,1.64
3020,302001,3020.dat,Plate 2 x 4,1,15,White,Solid Colors,1,1.2
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,4,1.2
3021,302126,3021.dat,Plate 2 x 3,11,0,Black,Solid Colors,2,0.93
3022,302201,3022.dat,Plate 2 x 2,1,15,White,Solid Colors,2,0.64
3022,302226,3022.dat,Plate 2 x 2,11,0,Black,Solid Colors,4,0.64
3023,302301,3023.dat,Plate 1 x 2,1,15,White,Solid Colors,3,0.36
3023,6514001,3023.dat,Plate 1 x 2,12,47,Trans-Clear,Transparent Colors,2,0.36
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,7,0.36
3023,4211063,3023b.dat,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,4,0.36
3023,4177932,3023b.dat,Plate 1 x 2,4,25,Orange,Solid Colors,2,0.36
3024,6513962,3024.dat,Plate 1 x 1,12,47,Trans-Clear,Transparent Colors,2,0.2
3024,302401,3024.dat,Plate 1 x 1,1,15,White,Solid Colors,16,0.2
3024,6513963,3024.dat,Plate 1 x 1,17,36,Trans-Red,Transparent Colors,4,0.2
3024,302426,3024.dat,Plate 1 x 1,11,0,Black,Solid Colors,20,0.2
3030,303026,3030.dat,Plate 4 x 10,11,0,Black,Solid Colors,2,5.55
3031,4243819,3031.dat,Plate 4 x 4,11,0,Black,Solid Colors,2,2.22
3036,303626,3036.dat,Plate 6 x 8,11,0,Black,Solid Colors,1,6.4
30663,6057397,30663.dat,"Vehicle, Steering Wheel Small, 2 Studs Diameter ",11,0,Black,Solid Colors,1,0.4
3069,306926,3069b.dat,Tile 1 x 2,11,0,Black,Solid Colors,8,0.26
3069,6514223,3069b.dat,Tile 1 x 2,12,47,Trans-Clear,Transparent Colors,2,0.26
3069,306901,3069b.dat,Tile 1 x 2,1,15,White,Solid Colors,7,0.26
3070,307026,3070b.dat,Tile 1 x 1,11,0,Black,Solid Colors,4,0.16
3070,6254254,3070b.dat,Tile 1 x 1,12,47,Trans-Clear,Transparent Colors,4,0.146
32028,6021787,32028.dat,"Plate, Modified 1 x 2 with Door Rail ",4,25,Orange,Solid Colors,1,
32064,6178919,32064c.dat,"Technic, Brick 1 x 2 with Axle Hole ",85,72,Dark Bluish Gray,Solid Colors,4,0.88
32952,6228987,32952.dat,"Brick, Modified 1 x 1 x 1 2/3 with Studs on Side ",11,0,Black,Solid Colors,2,0.7
3298,329826,3298.dat,Slope 33 3 x 2,11,0,Black,Solid Colors,2,1.27
3386,6424674,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",11,0,Black,Solid Colors,4,
3623,362301,3623.dat,Plate 1 x 3,1,15,White,Solid Colors,2,
3623,362326,3623.dat,Plate 1 x 3,11,0,Black,Solid Colors,2,0.53
3666,366626,3666.dat,Plate 1 x 6,11,0,Black,Solid Colors,7,1.06
3666,366601,3666.dat,Plate 1 x 6,1,15,White,Solid Colors,2,1.06
36840,6242241,36840.dat,Bracket 1 x 1 - 1 x 1 Inverted,1,15,White,Solid Colors,10,0.29
36841,6299338,36841.dat,Bracket 1 x 1 - 1 x 1,11,0,Black,Solid Colors,2,
3710,4118782,3710.dat,Plate 1 x 4,4,25,Orange,Solid Colors,1,0.71
3710,371026,3710.dat,Plate 1 x 4,11,0,Black,Solid Colors,12,0.71
3710,371001,3710.dat,Plate 1 x 4,1,15,White,Solid Colors,2,0.71
37352,6275732,37352.dat,"Slope, Curved 1 x 2 with Bottom Stud Holder ",11,0,Black,Solid Colors,2,
3749,374926,3749.dat,"Technic, Axle  1L with Pin without Friction Ridges ",11,0,Black,Solid Colors,4,
3794b,6092585,3794b.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper) ",11,0,Black,Solid Colors,2,0.3
3795,4211002,3795.dat,Plate 2 x 6,85,72,Dark Bluish Gray,Solid Colors,2,1.74
3795,379501,3795.dat,Plate 2 x 6,1,15,White,Solid Colors,1,1.74
3795,379526,3795.dat,Plate 2 x 6,11,0,Black,Solid Colors,2,1.74
4095,409526,4095.dat,Bar   6.6L with Stop Ring (Patio Umbrella Stand),11,0,Black,Solid Colors,2,0.43
44728,6117973,44728.dat,Bracket 1 x 2 - 2 x 2,11,0,Black,Solid Colors,2,0.8
44728,6117969,44728.dat,Bracket 1 x 2 - 2 x 2,4,25,Orange,Solid Colors,4,0.8
48336,4225201,48336.dat,"Plate, Modified 1 x 2 with Bar Handle on Side - Closed Ends ",11,0,Black,Solid Colors,2,0.54
4864b,6268111,4864b.dat,Panel 1 x 2 x 2 - Hollow Studs,13,40,Trans-Brown,Transparent Colors,2,1
5091,6510125,5091.dat,"Tile, Modified 1 x 2 Wedge Left ",11,0,Black,Solid Colors,3,
5091,6510126,5091.dat,"Tile, Modified 1 x 2 Wedge Left ",1,15,White,Solid Colors,1,
5092,6510140,5092.dat,"Tile, Modified 1 x 2 Wedge Right ",1,15,White,Solid Colors,1,
5092,6510139,5092.dat,"Tile, Modified 1 x 2 Wedge Right ",11,0,Black,Solid Colors,3,
54200,4504382,54200.dat,Slope 30 1 x 1 x 2/3,11,0,Black,Solid Colors,6,0.21
54200,4504371,54200.dat,Slope 30 1 x 1 x 2/3,4,25,Orange,Solid Colors,2,0.21
54200,4504369,54200.dat,Slope 30 1 x 1 x 2/3,1,15,White,Solid Colors,4,0.21
4073,614126,6141.dat,"Plate, Round 1 x 1 ",11,0,Black,Solid Colors,4,0.12
6231,4184005,6231.dat,Panel 1 x 1 x 1 Corner,4,25,Orange,Solid Colors,4,0.3
63864,4558168,63864.dat,Tile 1 x 3,1,15,White,Solid Colors,2,0.39
6636,4650690,6636.dat,Tile 1 x 6,4,25,Orange,Solid Colors,1,0.83
6636,663601,6636.dat,Tile 1 x 6,1,15,White,Solid Colors,6,0.83
6636,663626,6636.dat,Tile 1 x 6,11,0,Black,Solid Colors,1,0.83
