BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11211,6138173,11211.dat,"Brick, Modified 1 x 2 with Studs on 1 Side ",11,0,Black,Solid Colors,2,0.86
11477,6047276,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",11,0,Black,Solid Colors,4,0.31
11477,6028813,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,6,0.31
11477,6029948,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",85,72,Dark Bluish Gray,Solid Colors,1,0.31
14719,6065824,14719.dat,Tile 2 x 2 Corner,86,71,Light Bluish Gray,Solid Colors,2,0.43
14719,6133722,14719.dat,Tile 2 x 2 Corner,11,0,Black,Solid Colors,3,0.43
15068,6102357,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,6,0.57
18654,6161155,18654.dat,"Technic, Liftarm Thick 1 x 1 (Spacer) ",95,179,Flat Silver,Pearl Colors,2,0.17
18974,6379102,18974.dat,"Vehicle, Mudguard 4 x 2 1/2 x 2 1/3 with Arch Round ",86,71,Light Bluish Gray,Solid Colors,2,
20482,6186675,20482.dat,"Tile, Round 1 x 1 with Bar and Small Pin Hole ",11,0,Black,Solid Colors,2,0.16
22885,6275806,22885.dat,"Brick, Modified 1 x 2 x 1 2/3 with Studs on Side ",11,0,Black,Solid Colors,2,
23969,6248496,23969.dat,Panel 1 x 2 x 1 with Rounded Corners and 2 Sides,11,0,Black,Solid Colors,1,0.65
2412b,241226,2412b.dat,"Tile, Modified 1 x 2 Grille with Bottom Groove ",11,0,Black,Solid Colors,3,0.23
2412b,4211350,2412b.dat,"Tile, Modified 1 x 2 Grille with Bottom Groove ",86,71,Light Bluish Gray,Solid Colors,2,0.23
2420,4211353,2420.dat,Plate 2 x 2 Corner,86,71,Light Bluish Gray,Solid Colors,8,0.54
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,4,0.54
24246,6258973,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",5,4,Red,Solid Colors,5,
24299,6132203,24299.dat,"Wedge, Plate 2 x 2  Left ",1,15,White,Solid Colors,1,0.44
24307,6132204,24307.dat,"Wedge, Plate 2 x 2  Right ",1,15,White,Solid Colors,1,0.44
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,1,0.54
2431,4211356,2431.dat,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,3,0.54
2436b,6168620,2436b.dat,Bracket 1 x 2 - 1 x 4 with Rounded Corners,11,0,Black,Solid Colors,2,0.93
25269,6176433,25269.dat,"Tile, Round 1 x 1 Quarter ",86,71,Light Bluish Gray,Solid Colors,4,0.1
