BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15068,6053077,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",11,0,Black,Solid Colors,2,0.57
15535,6310185,15535.dat,"Tile, Round 2 x 2 with Hole ",1,15,White,Solid Colors,2,
15535,6147052,15535.dat,"Tile, Round 2 x 2 with Hole ",4,25,Orange,Solid Colors,2,0.32
15573,6092599,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper) ",4,25,Orange,Solid Colors,1,0.3
15712,6348055,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",1,15,White,Solid Colors,4,0.2
18976,6251109,18976.dat,"Wheel 18mm D. x 12mm with Axle Hole and Stud, Solid Brake Rotor Lines ",4,25,Orange,Solid Colors,2,1.4
18977,6102596,18977.dat,Tire 24 x 12 Low,11,0,Black,Solid Colors,2,2
18980,6105963,18980.dat,"Plate, Round Corner 2 x 6 Double ",11,0,Black,Solid Colors,1,1.42
20482,6186675,20482.dat,"Tile, Round 1 x 1 with Bar and Small Pin Hole ",11,0,Black,Solid Colors,1,0.16
2412b,241226,2412b.dat,"Tile, Modified 1 x 2 Grille with Bottom Groove ",11,0,Black,Solid Colors,2,0.23
2412b,241201,2412b.dat,"Tile, Modified 1 x 2 Grille with Bottom Groove ",1,15,White,Solid Colors,8,0.23
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,2,0.54
2420,6106027,2420.dat,Plate 2 x 2 Corner,4,25,Orange,Solid Colors,2,0.54
2420,242001,2420.dat,Plate 2 x 2 Corner,1,15,White,Solid Colors,14,0.54
24246,6256435,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",11,0,Black,Solid Colors,6,0.1
24246,6250591,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",1,15,White,Solid Colors,2,0.1
24299,6141554,24299.dat,"Wedge, Plate 2 x 2  Left ",11,0,Black,Solid Colors,1,0.44
24307,6141556,24307.dat,"Wedge, Plate 2 x 2  Right ",11,0,Black,Solid Colors,1,0.44
2431,4160593,2431.dat,Tile 1 x 4,4,25,Orange,Solid Colors,2,0.54
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,2,0.54
2437,6253360,2437.dat,Windscreen 3 x 4 x 1 1/3 with 2 Studs on Top,13,40,Trans-Brown,Transparent Colors,1,2.26
25269,6172366,25269.dat,"Tile, Round 1 x 1 Quarter ",1,15,White,Solid Colors,4,0.1
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,2,0.1
26047,6157554,26047.dat,"Plate, Round 1 x 1 with Bar Handle ",11,0,Black,Solid Colors,1,0.3
26601,6176240,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",1,15,White,Solid Colors,2,0.5
26603,6156667,26603.dat,Tile 2 x 3,1,15,White,Solid Colors,2,0.68
26603,6162892,26603.dat,Tile 2 x 3,11,0,Black,Solid Colors,1,0.68
27925,6172674,27925.dat,"Tile, Round Corner 2 x 2 Macaroni ",1,15,White,Solid Colors,4,0.3
29119,6213881,29119.dat,Wedge 2 x 1 x 2/3 Right,1,15,White,Solid Colors,1,0.23
29120,6213880,29120.dat,Wedge 2 x 1 x 2/3 Left,1,15,White,Solid Colors,1,0.23
3001,300101,3001.dat,Brick 2 x 4,1,15,White,Solid Colors,2,2.32
3004,300426,3004.dat,Brick 1 x 2,11,0,Black,Solid Colors,1,0.8
3005,300501,3005.dat,Brick 1 x 1,1,15,White,Solid Colors,8,0.44
3005,6240554,3005.dat,Brick 1 x 1,13,40,Trans-Brown,Transparent Colors,4,0.44
3010,301001,3010.dat,Brick 1 x 4,1,15,White,Solid Colors,2,1.64
3010,4118827,3010.dat,Brick 1 x 4,4,25,Orange,Solid Colors,1,1.64
3020,302001,3020.dat,Plate 2 x 4,1,15,White,Solid Colors,1,1.2
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,3,1.2
3021,302101,3021.dat,Plate 2 x 3,1,15,White,Solid Colors,2,0.93
3023,6514001,3023b.dat,Plate 1 x 2,12,47,Trans-Clear,Transparent Colors,4,0.36
3023,6240219,3023b.dat,Plate 1 x 2,13,40,Trans-Brown,Transparent Colors,4,0.36
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,9,0.36
3023,4177932,3023b.dat,Plate 1 x 2,4,25,Orange,Solid Colors,1,0.36
3023,302301,3023b.dat,Plate 1 x 2,1,15,White,Solid Colors,6,0.36
3024,6252039,3024.dat,Plate 1 x 1,13,40,Trans-Brown,Transparent Colors,4,0.2
3024,302401,3024.dat,Plate 1 x 1,1,15,White,Solid Colors,10,0.2
3030,303026,3030.dat,Plate 4 x 10,11,0,Black,Solid Colors,1,5.55
3032,303226,3032.dat,Plate 4 x 6,11,0,Black,Solid Colors,1,3.3
3032,303201,3032.dat,Plate 4 x 6,1,15,White,Solid Colors,1,
30414,4143254,30414.dat,"Brick, Modified 1 x 4 with Studs on Side ",1,15,White,Solid Colors,1,1.7
3065,6244909,3065.dat,Brick 1 x 2 without Bottom Tube,13,40,Trans-Brown,Transparent Colors,4,0.82
30663,6057397,30663.dat,"Vehicle, Steering Wheel Small, 2 Studs Diameter ",11,0,Black,Solid Colors,1,0.4
3068,306801,3068b.dat,Tile 2 x 2,1,15,White,Solid Colors,1,0.48
3069,306926,3069b.dat,Tile 1 x 2,11,0,Black,Solid Colors,5,0.26
3070,307001,3070b.dat,Tile 1 x 1,1,15,White,Solid Colors,6,0.16
3070,4558595,3070b.dat,Tile 1 x 1,4,25,Orange,Solid Colors,5,0.16
3070,307026,3070b.dat,Tile 1 x 1,11,0,Black,Solid Colors,2,0.16
32028,6021787,32028.dat,"Plate, Modified 1 x 2 with Door Rail ",4,25,Orange,Solid Colors,1,
32028,4107761,32028.dat,"Plate, Modified 1 x 2 with Door Rail ",11,0,Black,Solid Colors,7,0.44
32064,6178922,32064c.dat,"Technic, Brick 1 x 2 with Axle Hole ",11,0,Black,Solid Colors,2,0.88
32952,6218841,32952.dat,"Brick, Modified 1 x 1 x 1 2/3 with Studs on Side ",1,15,White,Solid Colors,2,0.7
3386,6446788,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",1,15,White,Solid Colors,2,
3386,6424674,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",11,0,Black,Solid Colors,12,
3387,6438923,3387.dat,"Vehicle, Mudguard 4 x 2 1/2 x 2 with Arch Round ",1,15,White,Solid Colors,2,
33909,6218822,33909.dat,"Tile, Modified 2 x 2 with Studs on Edge ",1,15,White,Solid Colors,2,0.57
33909,6192346,33909.dat,"Tile, Modified 2 x 2 with Studs on Edge ",11,0,Black,Solid Colors,6,0.57
35480,6210270,35480.dat,"Plate, Round 1 x 2 with Open Studs ",11,0,Black,Solid Colors,2,0.26
35787,6217875,35787.dat,"Tile, Modified 2 x 2 Triangular ",1,15,White,Solid Colors,2,0.24
3622,362201,3622.dat,Brick 1 x 3,1,15,White,Solid Colors,2,1.24
3623,362301,3623.dat,Plate 1 x 3,1,15,White,Solid Colors,4,
3623,362326,3623.dat,Plate 1 x 3,11,0,Black,Solid Colors,2,0.53
3666,4173332,3666.dat,Plate 1 x 6,4,25,Orange,Solid Colors,1,1.06
