BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6099468,14719.dat,Tile 2 x 2 Corner,153,321,Dark Azure,Solid Colors,4,0.43
15068,6298471,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",153,321,Dark Azure,Solid Colors,5,
30413,6046379,15207.dat,Panel 1 x 4 x 1,5,4,Red,Solid Colors,4,1.02
15573,6151671,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper) ",153,321,Dark Azure,Solid Colors,1,0.3
15573,6092585,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper) ",11,0,Black,Solid Colors,4,0.3
15712,6335388,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",11,0,Black,Solid Colors,2,0.2
2357,235726,2357.dat,Brick 2 x 2 Corner,11,0,Black,Solid Colors,2,1.25
23969,6248496,23969.dat,Panel 1 x 2 x 1 with Rounded Corners and 2 Sides,11,0,Black,Solid Colors,2,0.65
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,11,0.54
24246,6256435,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",11,0,Black,Solid Colors,2,0.1
24299,6145416,24299.dat,"Wedge, Plate 2 x 2  Left ",153,321,Dark Azure,Solid Colors,1,0.44
24299,6141554,24299.dat,"Wedge, Plate 2 x 2  Left ",11,0,Black,Solid Colors,1,0.44
24307,6141556,24307.dat,"Wedge, Plate 2 x 2  Right ",11,0,Black,Solid Colors,1,0.44
24307,6145418,24307.dat,"Wedge, Plate 2 x 2  Right ",153,321,Dark Azure,Solid Colors,1,0.44
2431,6205089,2431.dat,Tile 1 x 4,153,321,Dark Azure,Solid Colors,3,0.54
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,7,0.54
2436,4282746,2436a.dat,Bracket 1 x 2 - 1 x 4,11,0,Black,Solid Colors,4,0.93
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,5,0.1
25269,6172366,25269.dat,"Tile, Round 1 x 1 Quarter ",1,15,White,Solid Colors,2,0.1
25893,6356406,25893a.dat,"Plate, Round 1 x 1 with Bar Handle on Short Stem ",11,0,Black,Solid Colors,2,
26047,6157554,26047.dat,"Plate, Round 1 x 1 with Bar Handle ",11,0,Black,Solid Colors,2,0.3
26601,6174243,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",11,0,Black,Solid Colors,8,0.5
26603,6162892,26603.dat,Tile 2 x 3,11,0,Black,Solid Colors,2,0.68
29119,6453302,29119.dat,Wedge 2 x 1 x 2/3 Right,153,321,Dark Azure,Solid Colors,7,
29119,6181713,29119.dat,Wedge 2 x 1 x 2/3 Right,11,0,Black,Solid Colors,1,0.23
29120,6181720,29120.dat,Wedge 2 x 1 x 2/3 Left,11,0,Black,Solid Colors,1,0.23
29120,6211418,29120.dat,Wedge 2 x 1 x 2/3 Left,153,321,Dark Azure,Solid Colors,7,
3002,300226,3002.dat,Brick 2 x 3,11,0,Black,Solid Colors,2,1.92
3004,300426,3004.dat,Brick 1 x 2,11,0,Black,Solid Colors,2,0.8
3005,300526,3005.dat,Brick 1 x 1,11,0,Black,Solid Colors,4,0.44
3010,301026,3010.dat,Brick 1 x 4,11,0,Black,Solid Colors,3,1.64
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,4,1.2
3020,6210675,3020.dat,Plate 2 x 4,153,321,Dark Azure,Solid Colors,3,
3021,6144149,3021.dat,Plate 2 x 3,153,321,Dark Azure,Solid Colors,1,0.93
3021,302126,3021.dat,Plate 2 x 3,11,0,Black,Solid Colors,12,0.93
3022,302226,3022.dat,Plate 2 x 2,11,0,Black,Solid Colors,2,0.64
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,13,0.36
3023,4653988,3023b.dat,Plate 1 x 2,153,321,Dark Azure,Solid Colors,7,0.36
3023,6240219,3023b.dat,Plate 1 x 2,13,40,Trans-Brown,Transparent Colors,6,0.36
3024,302426,3024.dat,Plate 1 x 1,11,0,Black,Solid Colors,10,0.2
3024,6151664,3024.dat,Plate 1 x 1,153,321,Dark Azure,Solid Colors,8,0.2
3024,6252039,3024.dat,Plate 1 x 1,13,40,Trans-Brown,Transparent Colors,4,0.2
3030,303026,3030.dat,Plate 4 x 10,11,0,Black,Solid Colors,2,5.55
3031,4243819,3031.dat,Plate 4 x 4,11,0,Black,Solid Colors,3,2.22
30414,4162443,30414.dat,"Brick, Modified 1 x 4 with Studs on Side ",11,0,Black,Solid Colors,1,1.7
3065,6244909,3065.dat,Brick 1 x 2 without Bottom Tube,13,40,Trans-Brown,Transparent Colors,4,0.82
30663,6057397,30663.dat,"Vehicle, Steering Wheel Small, 2 Studs Diameter ",11,0,Black,Solid Colors,1,0.4
3068,306826,3068b.dat,Tile 2 x 2,11,0,Black,Solid Colors,1,0.48
3069,6514220,3069b.dat,Tile 1 x 2,17,36,Trans-Red,Transparent Colors,2,0.26
3069,6151659,3069b.dat,Tile 1 x 2,153,321,Dark Azure,Solid Colors,2,0.26
3069,306926,3069b.dat,Tile 1 x 2,11,0,Black,Solid Colors,1,0.26
3070,6151658,3070b.dat,Tile 1 x 1,153,321,Dark Azure,Solid Colors,12,0.16
32028,4107761,32028.dat,"Plate, Modified 1 x 2 with Door Rail ",11,0,Black,Solid Colors,1,0.44
32064,6178919,32064c.dat,"Technic, Brick 1 x 2 with Axle Hole ",85,72,Dark Bluish Gray,Solid Colors,4,0.88
3386,6424674,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",11,0,Black,Solid Colors,21,
3460,6210227,3460.dat,Plate 1 x 8,153,321,Dark Azure,Solid Colors,1,1.36
35480,6221607,35480.dat,"Plate, Round 1 x 2 with Open Studs ",85,72,Dark Bluish Gray,Solid Colors,1,0.26
35480,6210270,35480.dat,"Plate, Round 1 x 2 with Open Studs ",11,0,Black,Solid Colors,2,0.26
35787,6217875,35787.dat,"Tile, Modified 2 x 2 Triangular ",1,15,White,Solid Colors,2,0.24
3623,6153538,3623.dat,Plate 1 x 3,153,321,Dark Azure,Solid Colors,4,0.53
3666,366626,3666.dat,Plate 1 x 6,11,0,Black,Solid Colors,12,1.06
3666,6151657,3666.dat,Plate 1 x 6,153,321,Dark Azure,Solid Colors,1,1.06
3710,6133728,3710.dat,Plate 1 x 4,153,321,Dark Azure,Solid Colors,3,0.71
3710,371026,3710.dat,Plate 1 x 4,11,0,Black,Solid Colors,9,0.71
3743,6457282,3743.dat,"Technic, Gear Rack 1 x 4 ",11,0,Black,Solid Colors,1,
3749,4666579,3749.dat,"Technic, Axle  1L with Pin without Friction Ridges ",2,19,Tan,Solid Colors,4,0.22
3795,4211002,3795.dat,Plate 2 x 6,85,72,Dark Bluish Gray,Solid Colors,2,1.74
