BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11211,6189191,11211.dat,"Brick, Modified 1 x 2 with Studs on 1 Side ",7,1,Blue,Solid Colors,2,0.86
11477,6055065,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",7,1,Blue,Solid Colors,6,0.31
15068,6053077,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",11,0,Black,Solid Colors,6,0.57
15068,6116786,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",7,1,Blue,Solid Colors,17,0.57
15712,6335388,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",11,0,Black,Solid Colors,8,0.2
20482,6186675,20482.dat,"Tile, Round 1 x 1 with Bar and Small Pin Hole ",11,0,Black,Solid Colors,6,0.16
2357,235726,2357.dat,Brick 2 x 2 Corner,11,0,Black,Solid Colors,2,1.25
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,2,0.54
2420,242023,2420.dat,Plate 2 x 2 Corner,7,1,Blue,Solid Colors,8,0.54
24299,6132203,24299.dat,"Wedge, Plate 2 x 2  Left ",1,15,White,Solid Colors,1,0.44
24299,6189198,24299.dat,"Wedge, Plate 2 x 2  Left ",7,1,Blue,Solid Colors,4,0.44
24299,6141554,24299.dat,"Wedge, Plate 2 x 2  Left ",11,0,Black,Solid Colors,1,0.44
24307,6132204,24307.dat,"Wedge, Plate 2 x 2  Right ",1,15,White,Solid Colors,1,0.44
24307,6189202,24307.dat,"Wedge, Plate 2 x 2  Right ",7,1,Blue,Solid Colors,4,0.44
24307,6141556,24307.dat,"Wedge, Plate 2 x 2  Right ",11,0,Black,Solid Colors,1,0.44
2436,4282746,2436a.dat,Bracket 1 x 2 - 1 x 4,11,0,Black,Solid Colors,2,0.93
25269,6172366,25269.dat,"Tile, Round 1 x 1 Quarter ",1,15,White,Solid Colors,2,0.1
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,6,0.1
26601,6174243,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",11,0,Black,Solid Colors,2,0.5
26603,6162892,26603.dat,Tile 2 x 3,11,0,Black,Solid Colors,4,0.68
26604,6187572,26604.dat,"Brick, Modified 1 x 1 with Studs on 2 Sides, Adjacent ",11,0,Black,Solid Colors,2,0.45
29119,6181713,29119.dat,Wedge 2 x 1 x 2/3 Right,11,0,Black,Solid Colors,1,0.23
29119,6172411,29119.dat,Wedge 2 x 1 x 2/3 Right,7,1,Blue,Solid Colors,3,0.23
29120,6181720,29120.dat,Wedge 2 x 1 x 2/3 Left,11,0,Black,Solid Colors,1,0.23
29120,6172414,29120.dat,Wedge 2 x 1 x 2/3 Left,7,1,Blue,Solid Colors,3,0.23
3001,300126,3001.dat,Brick 2 x 4,11,0,Black,Solid Colors,1,2.32
3004,300426,3004.dat,Brick 1 x 2,11,0,Black,Solid Colors,2,0.8
3005,6240554,3005.dat,Brick 1 x 1,13,40,Trans-Brown,Transparent Colors,2,0.44
3005,300526,3005.dat,Brick 1 x 1,11,0,Black,Solid Colors,2,0.44
3009,300926,3009.dat,Brick 1 x 6,11,0,Black,Solid Colors,8,2.42
