BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11476,6313116,11476.dat,"Plate, Modified 1 x 2 with Clip on Side (Horizontal Grip) ",11,0,Black,Solid Colors,1,0.46
11477,6094143,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",63,272,Dark Blue,Solid Colors,2,0.31
14719,6103392,14719.dat,Tile 2 x 2 Corner,63,272,Dark Blue,Solid Colors,4,0.43
15068,6061569,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",63,272,Dark Blue,Solid Colors,4,0.57
15535,6143850,15535.dat,"Tile, Round 2 x 2 with Hole ",11,0,Black,Solid Colors,4,0.32
15712,6335388,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",11,0,Black,Solid Colors,2,0.2
2420,4528482,2420.dat,Plate 2 x 2 Corner,63,272,Dark Blue,Solid Colors,6,0.54
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,8,0.54
24246,6444941,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",63,272,Dark Blue,Solid Colors,1,
24299,6141554,24299.dat,"Wedge, Plate 2 x 2  Left ",11,0,Black,Solid Colors,1,0.44
24299,6141552,24299.dat,"Wedge, Plate 2 x 2  Left ",5,4,Red,Solid Colors,1,0.44
24307,6141553,24307.dat,"Wedge, Plate 2 x 2  Right ",5,4,Red,Solid Colors,1,0.44
24307,6141556,24307.dat,"Wedge, Plate 2 x 2  Right ",11,0,Black,Solid Colors,1,0.44
2431,6103985,2431.dat,Tile 1 x 4,63,272,Dark Blue,Solid Colors,2,0.54
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,3,0.54
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,4,0.1
25269,6170390,25269.dat,"Tile, Round 1 x 1 Quarter ",5,4,Red,Solid Colors,4,0.1
25269,6176433,25269.dat,"Tile, Round 1 x 1 Quarter ",86,71,Light Bluish Gray,Solid Colors,2,0.1
27263,6166859,27263.dat,"Tile, Modified Facet 2 x 2 ",11,0,Black,Solid Colors,2,0.33
29119,6214812,29119.dat,Wedge 2 x 1 x 2/3 Right,63,272,Dark Blue,Solid Colors,3,0.23
29119,6181713,29119.dat,Wedge 2 x 1 x 2/3 Right,11,0,Black,Solid Colors,3,0.23
29120,6181720,29120.dat,Wedge 2 x 1 x 2/3 Left,11,0,Black,Solid Colors,3,0.23
29120,6214811,29120.dat,Wedge 2 x 1 x 2/3 Left,63,272,Dark Blue,Solid Colors,3,0.23
3001,300126,3001.dat,Brick 2 x 4,11,0,Black,Solid Colors,2,2.32
3002,300226,3002.dat,Brick 2 x 3,11,0,Black,Solid Colors,2,1.92
3003,300326,3003.dat,Brick 2 x 2,11,0,Black,Solid Colors,2,1.35
3004,300426,3004.dat,Brick 1 x 2,11,0,Black,Solid Colors,2,0.8
3005,300526,3005.dat,Brick 1 x 1,11,0,Black,Solid Colors,8,0.44
3005,4211389,3005.dat,Brick 1 x 1,86,71,Light Bluish Gray,Solid Colors,1,0.44
3010,301026,3010.dat,Brick 1 x 4,11,0,Black,Solid Colors,1,1.64
3020,4667595,3020.dat,Plate 2 x 4,63,272,Dark Blue,Solid Colors,1,1.2
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,9,1.2
3021,4530028,3021.dat,Plate 2 x 3,63,272,Dark Blue,Solid Colors,1,0.93
3021,302126,3021.dat,Plate 2 x 3,11,0,Black,Solid Colors,4,0.93
3022,302226,3022.dat,Plate 2 x 2,11,0,Black,Solid Colors,3,0.64
3023,4528981,3023b.dat,Plate 1 x 2,63,272,Dark Blue,Solid Colors,4,0.36
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,14,0.36
3024,4184108,3024.dat,Plate 1 x 1,63,272,Dark Blue,Solid Colors,6,0.2
3024,4211399,3024.dat,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,1,0.2
