BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11203,6132886,11203.dat,"Tile, Modified 2 x 2 Inverted ",86,71,Light Bluish Gray,Solid Colors,2,0.62
1126,6531562,1126.dat,"Tile, Round 1 x 2 Oval ",85,72,Dark Bluish Gray,Solid Colors,2,
11477,6028813,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,2,0.31
11477,6046922,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",2,19,Tan,Solid Colors,2,0.31
11477,6047276,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",11,0,Black,Solid Colors,2,0.31
14719,6173057,14719.dat,Tile 2 x 2 Corner,2,19,Tan,Solid Colors,2,0.43
15068,6102357,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,2,0.57
15068,6046924,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",2,19,Tan,Solid Colors,4,0.57
15712,6308012,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",86,71,Light Bluish Gray,Solid Colors,6,0.2
18974,6112243,18974.dat,"Vehicle, Mudguard 4 x 2 1/2 x 2 1/3 with Arch Round ",11,0,Black,Solid Colors,4,2.9
2412b,241226,2412b.dat,"Tile, Modified 1 x 2 Grille with Bottom Groove ",11,0,Black,Solid Colors,2,0.23
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,6,0.54
2420,4211353,2420.dat,Plate 2 x 2 Corner,86,71,Light Bluish Gray,Solid Colors,4,0.54
2431,4211356,2431.dat,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,5,0.54
2431,4550324,2431.dat,Tile 1 x 4,2,19,Tan,Solid Colors,1,0.54
2437,6253360,2437.dat,Windscreen 3 x 4 x 1 1/3 with 2 Studs on Top,13,40,Trans-Brown,Transparent Colors,1,2.26
25269,6514469,25269.dat,"Tile, Round 1 x 1 Quarter ",12,47,Trans-Clear,Transparent Colors,4,
25269,6176433,25269.dat,"Tile, Round 1 x 1 Quarter ",86,71,Light Bluish Gray,Solid Colors,4,0.1
26047,6157554,26047.dat,"Plate, Round 1 x 1 with Bar Handle ",11,0,Black,Solid Colors,2,0.3
26601,6176240,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",1,15,White,Solid Colors,2,0.5
26601,6174243,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",11,0,Black,Solid Colors,4,0.5
26603,6175367,26603.dat,Tile 2 x 3,2,19,Tan,Solid Colors,2,0.68
27263,6166859,27263.dat,"Tile, Modified Facet 2 x 2 ",11,0,Black,Solid Colors,4,0.33
2877,4211383,2877.dat,"Brick, Modified 1 x 2 with Grille / Fluted Profile ",86,71,Light Bluish Gray,Solid Colors,2,0.68
29119,6181713,29119.dat,Wedge 2 x 1 x 2/3 Right,11,0,Black,Solid Colors,2,0.23
29119,6225142,29119.dat,Wedge 2 x 1 x 2/3 Right,86,71,Light Bluish Gray,Solid Colors,2,0.23
29120,6181720,29120.dat,Wedge 2 x 1 x 2/3 Left,11,0,Black,Solid Colors,2,0.23
29120,6225139,29120.dat,Wedge 2 x 1 x 2/3 Left,86,71,Light Bluish Gray,Solid Colors,2,0.23
3005,4113915,3005.dat,Brick 1 x 1,2,19,Tan,Solid Colors,2,0.44
3005,300526,3005.dat,Brick 1 x 1,11,0,Black,Solid Colors,4,0.44
3008,300826,3008.dat,Brick 1 x 8,11,0,Black,Solid Colors,2,3.21
3010,301026,3010.dat,Brick 1 x 4,11,0,Black,Solid Colors,3,1.64
3010,4211394,3010.dat,Brick 1 x 4,86,71,Light Bluish Gray,Solid Colors,1,1.64
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,3,1.2
3020,4211395,3020.dat,Plate 2 x 4,86,71,Light Bluish Gray,Solid Colors,4,1.2
3020,4114309,3020.dat,Plate 2 x 4,2,19,Tan,Solid Colors,1,1.2
3022,302226,3022.dat,Plate 2 x 2,11,0,Black,Solid Colors,3,0.64
3022,4211397,3022.dat,Plate 2 x 2,86,71,Light Bluish Gray,Solid Colors,2,0.64
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,8,0.36
3023,4211398,3023b.dat,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,3,0.36
3023,4113917,3023b.dat,Plate 1 x 2,2,19,Tan,Solid Colors,2,0.36
3023,6240219,3023b.dat,Plate 1 x 2,13,40,Trans-Brown,Transparent Colors,4,0.36
3024,6513963,3024.dat,Plate 1 x 1,17,36,Trans-Red,Transparent Colors,2,0.2
3024,302426,3024.dat,Plate 1 x 1,11,0,Black,Solid Colors,26,0.2
3024,4211399,3024.dat,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,6,0.2
3031,4243819,3031.dat,Plate 4 x 4,11,0,Black,Solid Colors,5,2.22
3032,4211404,3032.dat,Plate 4 x 6,86,71,Light Bluish Gray,Solid Colors,1,3.3
3032,303226,3032.dat,Plate 4 x 6,11,0,Black,Solid Colors,2,3.3
3033,303326,3033.dat,Plate 6 x 10,11,0,Black,Solid Colors,1,7.95
30374,6116608,30374.dat,Bar   4L (Lightsaber Blade / Wand),86,71,Light Bluish Gray,Solid Colors,4,0.3
3040,4121972,3040b.dat,Slope 45 2 x 1,2,19,Tan,Solid Colors,2,0.69
3040,4211614,3040b.dat,Slope 45 2 x 1,86,71,Light Bluish Gray,Solid Colors,2,0.69
3065,6244909,3065.dat,Brick 1 x 2 without Bottom Tube,13,40,Trans-Brown,Transparent Colors,4,0.82
3068,4185177,3068b.dat,Tile 2 x 2,2,19,Tan,Solid Colors,1,0.48
3068,4211413,3068b.dat,Tile 2 x 2,86,71,Light Bluish Gray,Solid Colors,1,0.48
3069,306926,3069b.dat,Tile 1 x 2,11,0,Black,Solid Colors,3,0.26
3069,306901,3069b.dat,Tile 1 x 2,1,15,White,Solid Colors,1,0.26
3069,4211414,3069b.dat,Tile 1 x 2,86,71,Light Bluish Gray,Solid Colors,5,0.26
3069,4114026,3069b.dat,Tile 1 x 2,2,19,Tan,Solid Colors,3,0.26
3070,6254248,3070b.dat,Tile 1 x 1,17,36,Trans-Red,Transparent Colors,2,0.16
3070,4211415,3070b.dat,Tile 1 x 1,86,71,Light Bluish Gray,Solid Colors,4,0.16
3070,307026,3070b.dat,Tile 1 x 1,11,0,Black,Solid Colors,4,0.16
32000,3200026,32000.dat,"Technic, Brick 1 x 2 with Holes ",11,0,Black,Solid Colors,2,0.72
32028,4211568,32028.dat,"Plate, Modified 1 x 2 with Door Rail ",86,71,Light Bluish Gray,Solid Colors,2,0.44
32064,6178922,32064c.dat,"Technic, Brick 1 x 2 with Axle Hole ",11,0,Black,Solid Colors,4,0.88
32803,6185676,32803.dat,"Slope, Curved 2 x 2 x 2/3 Inverted ",86,71,Light Bluish Gray,Solid Colors,2,0.67
3386,6424674,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",11,0,Black,Solid Colors,2,
34103,6211966,34103.dat,"Plate, Modified 1 x 3 with 2 Studs (Double Jumper) ",2,19,Tan,Solid Colors,2,0.43
35480,6210270,35480.dat,"Plate, Round 1 x 2 with Open Studs ",11,0,Black,Solid Colors,2,0.26
3623,362326,3623.dat,Plate 1 x 3,11,0,Black,Solid Colors,4,0.53
3623,4211429,3623.dat,Plate 1 x 3,86,71,Light Bluish Gray,Solid Colors,4,0.53
3666,4211438,3666.dat,Plate 1 x 6,86,71,Light Bluish Gray,Solid Colors,2,1.06
3666,366626,3666.dat,Plate 1 x 6,11,0,Black,Solid Colors,7,1.06
3679,4540203,3679.dat,"Turntable 2 x 2 Plate, Top ",86,71,Light Bluish Gray,Solid Colors,4,0.3
36840,6234695,36840.dat,Bracket 1 x 1 - 1 x 1 Inverted,11,0,Black,Solid Colors,2,0.29
