BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11211,6058177,11211.dat,"Brick, Modified 1 x 2 with Studs on 1 Side ",1,15,White,Solid Colors,2,0.86
11476,6313115,11476.dat,"Plate, Modified 1 x 2 with Clip on Side (Horizontal Grip) ",1,15,White,Solid Colors,1,0.46
11477,6055069,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",4,25,Orange,Solid Colors,12,0.31
15068,6067913,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",4,25,Orange,Solid Colors,6,0.57
15068,6053077,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",11,0,Black,Solid Colors,2,0.57
15535,6179186,15535.dat,"Tile, Round 2 x 2 with Hole ",86,71,Light Bluish Gray,Solid Colors,4,0.32
23969,6248490,23969.dat,Panel 1 x 2 x 1 with Rounded Corners and 2 Sides,1,15,White,Solid Colors,2,0.65
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,2,0.54
2431,4160593,2431.dat,Tile 1 x 4,4,25,Orange,Solid Colors,2,0.54
2431,243101,2431.dat,Tile 1 x 4,1,15,White,Solid Colors,2,0.54
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,2,0.1
26601,6174243,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",11,0,Black,Solid Colors,2,0.5
26603,6162892,26603.dat,Tile 2 x 3,11,0,Black,Solid Colors,4,0.68
29119,6181713,29119.dat,Wedge 2 x 1 x 2/3 Right,11,0,Black,Solid Colors,1,0.23
29119,6177490,29119.dat,Wedge 2 x 1 x 2/3 Right,4,25,Orange,Solid Colors,1,0.23
29120,6181720,29120.dat,Wedge 2 x 1 x 2/3 Left,11,0,Black,Solid Colors,1,0.23
29120,6177499,29120.dat,Wedge 2 x 1 x 2/3 Left,4,25,Orange,Solid Colors,1,0.23
3004,4121739,3004.dat,Brick 1 x 2,4,25,Orange,Solid Colors,2,0.8
3005,4173805,3005.dat,Brick 1 x 1,4,25,Orange,Solid Colors,4,0.44
3005,300526,3005.dat,Brick 1 x 1,11,0,Black,Solid Colors,2,0.44
3010,301001,3010.dat,Brick 1 x 4,1,15,White,Solid Colors,1,1.64
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,1,1.2
3021,302126,3021.dat,Plate 2 x 3,11,0,Black,Solid Colors,6,0.93
3023,302301,3023b.dat,Plate 1 x 2,1,15,White,Solid Colors,8,0.36
3023,4177932,3023b.dat,Plate 1 x 2,4,25,Orange,Solid Colors,3,0.36
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,10,0.36
3024,302401,3024.dat,Plate 1 x 1,1,15,White,Solid Colors,5,0.2
3024,302426,3024.dat,Plate 1 x 1,11,0,Black,Solid Colors,4,0.2
3024,4524929,3024.dat,Plate 1 x 1,4,25,Orange,Solid Colors,8,0.2
3030,303026,3030.dat,Plate 4 x 10,11,0,Black,Solid Colors,1,5.55
3031,4243819,3031.dat,Plate 4 x 4,11,0,Black,Solid Colors,2,2.22
3035,303526,3035.dat,Plate 4 x 8,11,0,Black,Solid Colors,1,4.7
3040,4121967,3040b.dat,Slope 45 2 x 1,4,25,Orange,Solid Colors,2,0.69
3069,4188771,3069b.dat,Tile 1 x 2,4,25,Orange,Solid Colors,3,0.26
3069,306901,3069b.dat,Tile 1 x 2,1,15,White,Solid Colors,8,0.26
3070,4558595,3070b.dat,Tile 1 x 1,4,25,Orange,Solid Colors,2,0.16
3070,307026,3070b.dat,Tile 1 x 1,11,0,Black,Solid Colors,2,0.16
3070,307001,3070b.dat,Tile 1 x 1,1,15,White,Solid Colors,2,0.16
32028,4107761,32028.dat,"Plate, Modified 1 x 2 with Door Rail ",11,0,Black,Solid Colors,2,0.44
32064,6178919,32064c.dat,"Technic, Brick 1 x 2 with Axle Hole ",85,72,Dark Bluish Gray,Solid Colors,4,0.88
32828,6227897,32828.dat,Bar   1L with 1 x 1 Round Plate with Hollow Stud,86,71,Light Bluish Gray,Solid Colors,2,0.16
3386,6446788,3386.dat,"Brick, Round 1 x 1 x 2/3 Half Circle Extended with Stud on Side ",1,15,White,Solid Colors,2,
33909,6192346,33909.dat,"Tile, Modified 2 x 2 with Studs on Edge ",11,0,Black,Solid Colors,12,0.57
3460,6210229,3460.dat,Plate 1 x 8,4,25,Orange,Solid Colors,4,1.36
3460,346026,3460.dat,Plate 1 x 8,11,0,Black,Solid Colors,1,1.36
3623,6147047,3623.dat,Plate 1 x 3,4,25,Orange,Solid Colors,2,0.53
3623,362326,3623.dat,Plate 1 x 3,11,0,Black,Solid Colors,2,0.53
3666,366626,3666.dat,Plate 1 x 6,11,0,Black,Solid Colors,3,1.06
3666,366601,3666.dat,Plate 1 x 6,1,15,White,Solid Colors,1,1.06
3666,4173332,3666.dat,Plate 1 x 6,4,25,Orange,Solid Colors,1,1.06
36840,6242241,36840.dat,Bracket 1 x 1 - 1 x 1 Inverted,1,15,White,Solid Colors,2,0.29
3710,371001,3710.dat,Plate 1 x 4,1,15,White,Solid Colors,2,0.71
3710,371026,3710.dat,Plate 1 x 4,11,0,Black,Solid Colors,5,0.71
3749,4666579,3749.dat,"Technic, Axle  1L with Pin without Friction Ridges ",2,19,Tan,Solid Colors,4,0.22
3794b,6051511,3794b.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper) ",1,15,White,Solid Colors,4,0.3
3795,379501,3795.dat,Plate 2 x 6,1,15,White,Solid Colors,3,1.74
3795,379526,3795.dat,Plate 2 x 6,11,0,Black,Solid Colors,1,1.74
3795,4211002,3795.dat,Plate 2 x 6,85,72,Dark Bluish Gray,Solid Colors,2,1.74
