BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11477,6034044,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",1,15,White,Solid Colors,6,0.31
14719,6058329,14719.dat,Tile 2 x 2 Corner,1,15,White,Solid Colors,2,0.43
15068,6047220,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",1,15,White,Solid Colors,3,0.57
15535,6143850,15535.dat,"Tile, Round 2 x 2 with Hole ",11,0,Black,Solid Colors,4,0.32
15712,6335388,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",11,0,Black,Solid Colors,1,0.2
22885,6218823,22885.dat,"Brick, Modified 1 x 2 x 1 2/3 with Studs on Side ",1,15,White,Solid Colors,6,1.25
2420,242001,2420.dat,Plate 2 x 2 Corner,1,15,White,Solid Colors,12,0.54
2431,243101,2431.dat,Tile 1 x 4,1,15,White,Solid Colors,3,0.54
25269,6172366,25269.dat,"Tile, Round 1 x 1 Quarter ",1,15,White,Solid Colors,2,0.1
26601,6176240,26601.dat,"Wedge, Plate 2 x 2  Cut Corner ",1,15,White,Solid Colors,2,0.5
29119,6181713,29119.dat,Wedge 2 x 1 x 2/3 Right,11,0,Black,Solid Colors,1,0.23
29119,6213881,29119.dat,Wedge 2 x 1 x 2/3 Right,1,15,White,Solid Colors,4,0.23
29120,6181720,29120.dat,Wedge 2 x 1 x 2/3 Left,11,0,Black,Solid Colors,1,0.23
29120,6213880,29120.dat,Wedge 2 x 1 x 2/3 Left,1,15,White,Solid Colors,4,0.23
30029,4656764,30029.dat,"Vehicle, Base 4 x 10 x 2/3 with 2 x 4 Recessed Center with Smooth Underside ",11,0,Black,Solid Colors,1,6
3004,300401,3004.dat,Brick 1 x 2,1,15,White,Solid Colors,5,0.8
3005,300501,3005.dat,Brick 1 x 1,1,15,White,Solid Colors,2,0.44
3010,301001,3010.dat,Brick 1 x 4,1,15,White,Solid Colors,3,1.64
3020,302001,3020.dat,Plate 2 x 4,1,15,White,Solid Colors,2,1.2
3021,302126,3021.dat,Plate 2 x 3,11,0,Black,Solid Colors,1,0.93
3022,302201,3022.dat,Plate 2 x 2,1,15,White,Solid Colors,1,0.64
3022,302226,3022.dat,Plate 2 x 2,11,0,Black,Solid Colors,1,0.64
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,7,0.36
3023,302301,3023b.dat,Plate 1 x 2,1,15,White,Solid Colors,6,0.36
3024,302426,3024.dat,Plate 1 x 1,11,0,Black,Solid Colors,4,0.2
3024,302401,3024.dat,Plate 1 x 1,1,15,White,Solid Colors,4,0.2
3032,303201,3032.dat,Plate 4 x 6,1,15,White,Solid Colors,1,
3039,303901,3039.dat,Slope 45 2 x 2,1,15,White,Solid Colors,2,1.15
30414,4143254,30414.dat,"Brick, Modified 1 x 4 with Studs on Side ",1,15,White,Solid Colors,1,1.7
3068,306801,3068b.dat,Tile 2 x 2,1,15,White,Solid Colors,1,0.48
3069,306901,3069b.dat,Tile 1 x 2,1,15,White,Solid Colors,2,0.26
3070,307001,3070b.dat,Tile 1 x 1,1,15,White,Solid Colors,4,0.16
3070,307026,3070b.dat,Tile 1 x 1,11,0,Black,Solid Colors,2,0.16
32028,4612575,32028.dat,"Plate, Modified 1 x 2 with Door Rail ",5,4,Red,Solid Colors,3,0.44
32803,6211476,32803.dat,"Slope, Curved 2 x 2 x 2/3 Inverted ",11,0,Black,Solid Colors,3,0.67
32803,6210385,32803.dat,"Slope, Curved 2 x 2 x 2/3 Inverted ",1,15,White,Solid Colors,2,0.67
32952,6218841,32952.dat,"Brick, Modified 1 x 1 x 1 2/3 with Studs on Side ",1,15,White,Solid Colors,2,0.7
3384,6424672,3384.dat,Windscreen 6 x 4 x 1 1/3 Canopy Sloped Sides,13,40,Trans-Brown,Transparent Colors,1,
3387,6438923,3387.dat,"Vehicle, Mudguard 4 x 2 1/2 x 2 with Arch Round ",1,15,White,Solid Colors,2,
33909,6192346,33909.dat,"Tile, Modified 2 x 2 with Studs on Edge ",11,0,Black,Solid Colors,2,0.57
33909,6218822,33909.dat,"Tile, Modified 2 x 2 with Studs on Edge ",1,15,White,Solid Colors,2,0.57
35787,6217875,35787.dat,"Tile, Modified 2 x 2 Triangular ",1,15,White,Solid Colors,2,0.24
3623,362301,3623.dat,Plate 1 x 3,1,15,White,Solid Colors,4,
3666,366626,3666.dat,Plate 1 x 6,11,0,Black,Solid Colors,1,1.06
36841,6296132,36841.dat,Bracket 1 x 1 - 1 x 1,1,15,White,Solid Colors,2,
3710,371026,3710.dat,Plate 1 x 4,11,0,Black,Solid Colors,4,0.71
3749,4666579,3749.dat,"Technic, Axle  1L with Pin without Friction Ridges ",2,19,Tan,Solid Colors,4,0.22
3794b,6092585,3794b.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper) ",11,0,Black,Solid Colors,1,0.3
4070,407001,4070.dat,"Brick, Modified 1 x 1 with Headlight ",1,15,White,Solid Colors,4,0.36
43710,6106685,43710.dat,Wedge 4 x 2 Triple Left,1,15,White,Solid Colors,1,1.3
43711,6106683,43711.dat,Wedge 4 x 2 Triple Right,1,15,White,Solid Colors,1,1.3
43722,4180508,43722.dat,"Wedge, Plate 3 x 2 Right ",11,0,Black,Solid Colors,1,0.64
43723,4180536,43723.dat,"Wedge, Plate 3 x 2 Left ",11,0,Black,Solid Colors,1,0.64
51739,4531412,51739.dat,"Wedge, Plate 2 x 4 ",11,0,Black,Solid Colors,2,0.84
54200,4504369,54200.dat,Slope 30 1 x 1 x 2/3,1,15,White,Solid Colors,4,0.21
63864,4558168,63864.dat,Tile 1 x 3,1,15,White,Solid Colors,2,0.39
65635,6287680,65635.dat,"Technic, Brick 2 x 6 x 1 1/3 with Axle Holes and Bottom Pins ",85,72,Dark Bluish Gray,Solid Colors,2,
6636,663601,6636.dat,Tile 1 x 6,1,15,White,Solid Colors,3,0.83
69729,6318582,69729.dat,Tile 2 x 6,11,0,Black,Solid Colors,1,
72206pb01,6336858,72206p01.dat,Wheel 24 x 12 with Pin Hole with Molded Black Hard Rubber Tire Pattern,11,0,Black,Solid Colors,4,
79389,6442358,79389.dat,Bracket 1 x 1 - 1 x 2,1,15,White,Solid Colors,2,
80177,6407402,80177.dat,Wedge 3 x 2 Left No Studs,1,15,White,Solid Colors,1,
80178,6407399,80178.dat,Wedge 3 x 2 Right No Studs,1,15,White,Solid Colors,1,
85984,4547489,85984.dat,Slope 30 1 x 2 x 2/3,1,15,White,Solid Colors,2,0.34
85984,4548180,85984.dat,Slope 30 1 x 2 x 2/3,11,0,Black,Solid Colors,12,0.34
87079,4560182,87079.dat,Tile 2 x 4,11,0,Black,Solid Colors,2,0.9
87087,4558954,87087.dat,"Brick, Modified 1 x 1 with Stud on Side ",11,0,Black,Solid Colors,2,0.45
93606,6031947,93606.dat,"Slope, Curved 4 x 2 ",1,15,White,Solid Colors,2,1.4
95344,6245281,95344.dat,"Minifigure, Utensil Bucket 1 x 1 x 1 Handle / Scooter Stand ",11,0,Black,Solid Colors,1,0.13
98282,6170504,98282.dat,"Vehicle, Mudguard 4 x 2 1/2 x 1 with Arch Round ",1,15,White,Solid Colors,2,1.56
99780,6020193,99780.dat,Bracket 1 x 2 - 1 x 2 Inverted,11,0,Black,Solid Colors,1,0.55
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
190,96.74001 +a
,,,,,,,,
