BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11477,6029946,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",5,4,Red,Solid Colors,4,0.31
11477,6047276,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",11,0,Black,Solid Colors,2,0.31
14719,6133722,14719.dat,Tile 2 x 2 Corner,11,0,Black,Solid Colors,6,0.43
15068,6053077,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",11,0,Black,Solid Colors,6,0.57
15068,6105976,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",5,4,Red,Solid Colors,2,0.57
15573,6092565,15573.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper) ",5,4,Red,Solid Colors,1,0.3
15712,6335388,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",11,0,Black,Solid Colors,6,0.2
15712,6348058,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",5,4,Red,Solid Colors,2,0.2
20482,6186675,20482.dat,"Tile, Round 1 x 1 with Bar and Small Pin Hole ",11,0,Black,Solid Colors,1,0.16
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,3,0.54
2420,242021,2420.dat,Plate 2 x 2 Corner,5,4,Red,Solid Colors,4,0.54
24246,6250591,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",1,15,White,Solid Colors,2,0.1
24246,6256435,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",11,0,Black,Solid Colors,3,0.1
24246,6322997,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",59,320,Dark Red,Solid Colors,2,
24309,6132210,24309.dat,"Slope, Curved 3 x 2 ",5,4,Red,Solid Colors,2,1.21
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,2,0.54
25269,6170390,25269.dat,"Tile, Round 1 x 1 Quarter ",5,4,Red,Solid Colors,3,0.1
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,3,0.1
26047,6157554,26047.dat,"Plate, Round 1 x 1 with Bar Handle ",11,0,Black,Solid Colors,2,0.3
29119,6181713,29119.dat,Wedge 2 x 1 x 2/3 Right,11,0,Black,Solid Colors,2,0.23
29119,6177507,29119.dat,Wedge 2 x 1 x 2/3 Right,5,4,Red,Solid Colors,5,0.23
29120,6177505,29120.dat,Wedge 2 x 1 x 2/3 Left,5,4,Red,Solid Colors,5,0.23
29120,6181720,29120.dat,Wedge 2 x 1 x 2/3 Left,11,0,Black,Solid Colors,2,0.23
3002,300226,3002.dat,Brick 2 x 3,11,0,Black,Solid Colors,2,1.92
3005,300526,3005.dat,Brick 1 x 1,11,0,Black,Solid Colors,2,0.44
3005,300521,3005.dat,Brick 1 x 1,5,4,Red,Solid Colors,2,0.44
3009,300926,3009.dat,Brick 1 x 6,11,0,Black,Solid Colors,1,2.42
3010,301026,3010.dat,Brick 1 x 4,11,0,Black,Solid Colors,2,1.64
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,6,1.2
3021,302121,3021.dat,Plate 2 x 3,5,4,Red,Solid Colors,2,0.93
3021,302126,3021.dat,Plate 2 x 3,11,0,Black,Solid Colors,4,0.93
3022,302221,3022.dat,Plate 2 x 2,5,4,Red,Solid Colors,1,0.64
3023,302321,3023b.dat,Plate 1 x 2,5,4,Red,Solid Colors,10,0.36
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,7,0.36
3023,6240219,3023b.dat,Plate 1 x 2,13,40,Trans-Brown,Transparent Colors,4,0.36
3024,302421,3024.dat,Plate 1 x 1,5,4,Red,Solid Colors,10,0.2
3024,302426,3024.dat,Plate 1 x 1,11,0,Black,Solid Colors,10,0.2
3031,4243814,3031.dat,Plate 4 x 4,5,4,Red,Solid Colors,1,2.22
3032,303226,3032.dat,Plate 4 x 6,11,0,Black,Solid Colors,3,3.3
3035,303526,3035.dat,Plate 4 x 8,11,0,Black,Solid Colors,1,4.7
30414,4162443,30414.dat,"Brick, Modified 1 x 4 with Studs on Side ",11,0,Black,Solid Colors,1,1.7
