BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11010,6009771,11010.dat,"Minifigure, Utensil Ring 1 x 1 ",21,334,Chrome Gold,Chrome Colors,2,0.06
11477,6028813,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,4,0.31
11477,6047276,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",11,0,Black,Solid Colors,2,0.31
11477,6508253,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",12,47,Trans-Clear,Transparent Colors,2,
15068,6053077,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",11,0,Black,Solid Colors,3,0.57
15068,6102357,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,6,0.57
15712,6335388,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",11,0,Black,Solid Colors,4,0.2
15712,6308012,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",86,71,Light Bluish Gray,Solid Colors,2,0.2
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,6,0.54
2431,4211356,2431.dat,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,5,0.54
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,1,0.54
25269,6176433,25269.dat,"Tile, Round 1 x 1 Quarter ",86,71,Light Bluish Gray,Solid Colors,4,0.1
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,2,0.1
2555,6030718,2555.dat,"Tile, Modified 1 x 1 with Clip ",11,0,Black,Solid Colors,3,0.22
26047,6157554,26047.dat,"Plate, Round 1 x 1 with Bar Handle ",11,0,Black,Solid Colors,2,0.3
26603,6162892,26603.dat,Tile 2 x 3,11,0,Black,Solid Colors,2,0.68
26604,6187572,26604.dat,"Brick, Modified 1 x 1 with Studs on 2 Sides, Adjacent ",11,0,Black,Solid Colors,2,0.45
27263,6166859,27263.dat,"Tile, Modified Facet 2 x 2 ",11,0,Black,Solid Colors,2,0.33
27263,6177078,27263.dat,"Tile, Modified Facet 2 x 2 ",86,71,Light Bluish Gray,Solid Colors,2,0.33
